temporalCentroid,LogSpecCentroid,LogSpecSpread,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Energy,ZeroCrossings,SpecCentroid,SpecSpread,Rolloff,(No column name),bandsCoef1,bandsCoef2,bandsCoef3,bandsCoef4,bandsCoef5,bandsCoef6,bandsCoef7,bandsCoef8,bandsCoef9,bandsCoef10,bandsCoef11,bandsCoef12,bandsCoef13,bandsCoef14,bandsCoef15,bandsCoef16,bandsCoef17,bandsCoef18,bandsCoef19,bandsCoef20,bandsCoef21,bandsCoef22,bandsCoef23,bandsCoef24,bandsCoef25,bandsCoef26,bandsCoef27,bandsCoef28,bandsCoef29,bandsCoef30,bandsCoef31,bandsCoef32,bandsCoef33,bandsCoefSum,prj1,prj2,prj3,prj4,prj5,prj6,prj7,prj8,prj9,prj10,prj11,prj12,prj13,prj14,prj15,prj16,prj17,prj18,prj19,prj20,prj21,prj22,prj23,prj24,prj25,prj26,prj27,prj28,prj29,prj30,prj31,prj32,prj33,prjmin,prjmax,prjsum,prjdis,prjstd,LogAttackTime,HamoPk1,HamoPk2,HamoPk3,HamoPk4,HamoPk5,HamoPk6,HamoPk7,HamoPk8,HamoPk9,HamoPk10,HamoPk11,HamoPk12,HamoPk13,HamoPk14,HamoPk15,HamoPk16,HamoPk17,HamoPk18,HamoPk19,HamoPk20,HamoPk21,HamoPk22,HamoPk23,HamoPk24,HamoPk25,HamoPk26,HamoPk27,HamoPk28,playmethod,class1,class2,label
0.9998207,-0.4954547,1.069319,-0.494759509,1.068585727,-0.000533204,0.003636781,-0.001202874,-0.002306079,0.003256471,0.002843985,-0.000206239,0.002308993,0.003171763,0.002847432,-0.003749251,-0.000800952,206,447.9942,270.1777,654.071,5.4e-008,-0.153451,-0.1,-0.2095449,-0.2113087,-0.1874688,-0.2007472,-0.201199,-0.1601453,-0.07869785,-0.1922269,-0.2014952,-0.2010684,-0.1057139,-0.2132635,-0.100403,-0.1870932,-0.084468,-0.0793331,-0.1043332,-0.1380256,-0.1199993,-0.1362713,-0.1277374,-0.1480663,-0.1695664,-0.1827395,-0.1862722,-0.1883392,-0.1911268,-0.1988532,-0.2090493,-0.2219191,-0.2322406,355.9427,-0.9995073,0.01819481,0.002411044,-0.00117925,0.000694701,0.01885293,-0.01017297,0.004067003,-0.000716374,0.002826373,-0.004651401,0.001939193,0.005435295,-0.007417242,0.001250522,0.000876569,-0.001383658,0.00307823,0.000492629,0.003308555,-0.001136823,-0.001350881,-0.001292229,-0.002086835,0.00100534,-0.001504019,-0.002466969,0.0023573,-0.001189613,-0.000622697,-0.000301173,0.001280557,-0.000245519,-0.9995073,0.01885293,-0.0293683,34.62433,0.1715824,0.05500888,0.9225637,0.918868,0.9485457,0.9559303,0.8227963,0.8099591,0.8002716,0.7336549,0.6757685,0.665378,0.6824509,?,0.7101807,0.5638628,0.6653519,0.6401952,?,?,0.5568076,?,0.5701195,?,0.5606855,?,0.5637968,?,?,?,blown,aerophone,aero_double-reed,Oboe
0.9998207,-0.4830866,1.062194,-0.480466101,1.063443204,0.000757181,0.004759027,-0.001701558,-0.003296497,0.004772127,-0.002944482,0.000752277,0.000430632,-0.001922674,-0.002464362,0.004440251,-0.004363861,204,450.2383,269.6066,654.071,3.58e-008,-0.1544443,-0.1,-0.2299766,-0.2047441,-0.1884036,-0.193419,-0.203113,-0.147256,-0.0786842,-0.1936228,-0.2042701,-0.2036861,-0.1020303,-0.2020546,-0.09938838,-0.1941754,-0.0838158,-0.07962586,-0.09989979,-0.1422221,-0.1196815,-0.1362737,-0.1283591,-0.1466749,-0.1663981,-0.1818197,-0.1901958,-0.1855613,-0.1917075,-0.1972232,-0.2100897,-0.223507,-0.2319761,354.2267,-0.9991921,0.02010522,0.002614258,0.005235699,-0.001529573,0.02631853,0.004097921,-0.005567791,-0.01119303,0.01021922,-0.002966353,-0.00150916,-0.008354971,-0.000722404,-0.000855238,0.003498715,0.005367116,-0.002332138,0.005109668,0.002039469,-0.003670899,-0.003160414,-0.000161498,-0.003489835,0.000516262,0.002271618,0.000762148,-0.000641133,-0.001523084,-0.000348271,0.000616634,0.000557891,-5.72E-05,-0.9991921,0.02631853,-0.02902863,35.44665,0.1716402,0.05500888,0.9316821,0.9264956,0.9608103,0.9598547,0.8897161,0.7295515,0.7711722,0.7319409,0.6651152,0.634907,0.653655,0.6126895,0.6968243,0.5743514,?,0.5767234,?,?,?,?,?,?,?,?,?,?,?,?,blown,aerophone,aero_double-reed,Oboe
0.9998207,-0.4409522,1.028577,-0.445951141,1.024891169,0.002117792,-0.001649332,-0.001134032,0.001049751,0.002139427,-0.000751227,-0.00292465,-0.002088189,0.000734335,-0.004119142,-0.004741948,-0.008019391,251,444.8468,220.0688,648.6877,2.31e-008,-0.1264967,-0.1,-0.1840444,-0.1865762,-0.1774303,-0.1807706,-0.178222,-0.1443083,-0.09255988,-0.1886249,-0.1962216,-0.1987932,-0.1198227,-0.1924947,-0.09702614,-0.1776857,-0.09471207,-0.09033624,-0.114872,-0.1443132,-0.1454567,-0.1463271,-0.1539883,-0.1759416,-0.1808074,-0.1977321,-0.2116891,-0.2181166,-0.2168049,-0.2166678,-0.216161,-0.2155595,-0.2134833,427.0632,-0.9961858,-0.07160191,0.01851225,-0.02638025,0.01971613,0.01069052,0.005109046,-0.00955713,0.01651118,-0.005081851,-0.008817681,-0.01436584,0.00415777,0.00591674,-0.00736228,-0.007042631,0.005724176,-0.002360309,-0.000972078,-0.002278367,-0.000116985,0.00165207,-0.003858512,-0.004500224,0.001045548,-0.000659628,-0.001984197,0.000548469,-0.000890921,-8.43E-05,0.000382683,-0.000450514,-6.01E-05,-0.9961858,0.01971613,-0.032565,38.50618,0.1710045,0.05500888,0.8957544,0.9827718,0.9918527,1.006845,0.9109691,0.7950818,0.7469072,0.7678484,0.7826307,0.732849,0.6844178,0.6229308,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,blown,aerophone,aero_double-reed,Oboe
0.9998207,-0.4270374,1.004054,-0.427133762,1.001599683,-0.004288953,0.000333528,-0.001766838,0.003877893,0.000559605,-0.004588581,0.002777126,0.000712869,-0.000635316,0.004475627,0.004679122,0.004464215,222,455.8932,256.8587,654.071,4.74e-008,-0.153281,-0.1,-0.2108767,-0.2112365,-0.1948374,-0.1951406,-0.1988448,-0.1513402,-0.08025488,-0.1921852,-0.2066621,-0.2015169,-0.09621121,-0.2121906,-0.09521272,-0.1901428,-0.0825814,-0.0791212,-0.1015482,-0.1306529,-0.1259897,-0.1359617,-0.1287219,-0.1441859,-0.1625454,-0.186047,-0.1919126,-0.1866071,-0.190338,-0.2006466,-0.2146942,-0.2231933,-0.2296527,355.9664,-0.9993689,0.01897466,0.003335345,-0.000633837,-0.01126336,0.02279581,-0.003346936,-0.00411639,-0.001845395,-0.002291947,0.003254419,-0.000610134,0.007944051,-0.002148193,-0.001336014,4.68E-05,0.001990154,-0.003126297,0.004746793,0.005326382,0.004725183,0.002471231,0.002835881,0.002065426,0.001798123,-0.001345956,-0.001369069,-0.003357994,5.84E-06,-0.001527278,0.000584584,-0.000342887,-0.00029371,-0.9993689,0.02279581,-0.02895223,34.99784,0.1716531,0.05500888,0.9529383,0.9458687,0.9714294,0.9712842,0.869144,0.8180731,0.7315848,0.6337217,0.6967935,0.6664159,0.6535864,0.6386262,0.7113191,?,0.6822917,0.6538195,?,?,?,?,0.5566729,0.5558953,?,?,0.5611008,?,?,?,blown,aerophone,aero_double-reed,Oboe
0.9998207,-0.4260839,0.9893628,-0.425150021,0.992176684,-0.004598162,0.002263156,0.000339367,0.000525307,-0.004396855,0.004916116,0.004059565,0.003613036,0.004069186,0.002375384,0.000437524,0.00592926,272,456.9358,278.3722,654.071,7.24e-008,-0.1644732,-0.1,-0.2085453,-0.2150844,-0.2016073,-0.1931747,-0.2041188,-0.1497398,-0.08893851,-0.1973932,-0.1993118,-0.1992277,-0.09684138,-0.2085354,-0.09892241,-0.1954618,-0.09526075,-0.0848214,-0.1205517,-0.1271628,-0.1284584,-0.1397131,-0.1329454,-0.1446114,-0.1641825,-0.1736403,-0.1713614,-0.1835851,-0.1868576,-0.190436,-0.2123665,-0.2261139,-0.244013,348.0066,-0.9988965,0.02961093,-0.01898079,-0.0050822,-0.009190178,0.005030316,0.01474833,0.007152536,0.01443182,-0.007269955,-0.01052628,0.00849822,-0.003304472,-0.0014152,-0.007861736,-0.000768859,0.002062958,0.000439525,0.004072575,-8.15E-05,7.96E-05,0.000162988,0.000765459,0.003474316,-0.001035845,-0.001976546,-0.000782632,0.001638897,0.001513817,0.000326127,-0.000499164,-0.00047024,0.000399172,-0.9988965,0.02961093,-0.02950711,36.1911,0.1715586,0.05500888,0.9774681,0.9697333,0.9785975,1.000981,0.7803659,0.859234,0.8304653,0.8140789,0.798569,0.8341968,0.6979524,0.7146381,0.773262,0.6451145,0.6810067,0.6786583,0.6067238,0.6304486,0.5922,0.5885662,0.5867106,0.6109946,0.6543195,?,0.6065791,0.5976109,?,?,blown,aerophone,aero_double-reed,Oboe
0.9998207,-0.4020968,1.030121,-0.401747349,1.02655354,0.004394601,-0.001420442,-0.003854058,0.000372206,-0.003885679,-0.0045629,-0.003840047,0.003153464,-0.000400036,-0.004701825,6.25E-05,-0.003465162,216,466.8065,260.4296,654.071,5.5e-008,-0.1555176,-0.1,-0.2042553,-0.2055556,-0.1877737,-0.2009679,-0.2037045,-0.158893,-0.0797463,-0.1932652,-0.2009556,-0.2026256,-0.1054744,-0.2123136,-0.0989991,-0.1893797,-0.08278692,-0.0780715,-0.09897907,-0.148815,-0.1306315,-0.1475247,-0.124172,-0.1512499,-0.1718162,-0.1818732,-0.1810934,-0.1884531,-0.1875039,-0.1947011,-0.2092564,-0.2230925,-0.2336402,355.2517,-0.9993913,0.01757822,0.003509161,-0.004801874,0.007160895,0.01377252,-0.007228616,0.007066473,-0.001202988,0.01304839,-0.005072521,0.009427273,0.007010053,-0.002139064,-0.006497706,-0.005567777,0.001270149,-4.76E-08,-0.00929813,0.000775212,0.001878559,-0.002636673,0.001874329,0.000488238,-0.002914301,0.000517996,0.001419509,-0.000946294,-0.000550257,0.0005412,0.000669175,-0.000527903,-0.000587515,-0.9993913,0.01757822,-0.02913199,35.34695,0.1716227,0.05500888,0.9233051,0.9356532,0.9779118,0.9802014,0.9088686,0.7449186,0.7566348,0.7010651,0.6991233,0.6995113,0.7158126,0.5571967,0.7007746,0.5949112,0.6240832,0.6147544,?,?,?,?,0.5728094,0.5705137,?,?,0.5529366,?,?,?,blown,aerophone,aero_double-reed,Oboe
0.9998207,-0.3992675,1.020365,-0.395860801,1.020785334,0.001176839,0.003420859,0.004626531,-0.001560093,0.004290585,0.004367653,-0.003365332,-0.004405424,0.003873985,-0.001059479,-0.003474409,-0.001406425,202,465.7172,257.0232,654.071,6.86e-008,-0.1546183,-0.1,-0.1996138,-0.2003751,-0.1892542,-0.1993045,-0.1964805,-0.1738999,-0.08029828,-0.1937439,-0.2043313,-0.2046889,-0.1045243,-0.2081749,-0.1002756,-0.1895968,-0.08146524,-0.07918341,-0.1004486,-0.1452789,-0.1269815,-0.1433454,-0.1254389,-0.1533802,-0.1748186,-0.1828443,-0.1838198,-0.1908193,-0.1890286,-0.1995836,-0.2087482,-0.223827,-0.2358627,356.0679,-0.9994536,0.01253695,0.007787605,-0.0103964,0.006588425,0.00102246,-0.01403831,0.008328978,0.002708261,0.01586173,-0.007428892,0.004180397,0.006139785,0.004785607,-0.000252951,-0.000853194,-0.001700181,0.002776069,-0.002703464,0.004105753,0.00197727,-0.001099605,0.00153548,-0.000966812,-0.003740332,0.00099977,-0.001163311,0.001248136,-0.0001547,-0.000573051,-0.001085572,9.66E-05,0.00036016,-0.9994536,0.01586173,-0.02916882,35.11778,0.1716165,0.05500888,0.9276211,0.9246939,0.9761371,0.9624204,0.8871822,0.7743381,0.758235,0.7538393,0.6517036,0.6822344,0.6588493,0.6277343,0.6943878,0.5549286,0.6184253,0.6171593,0.5781679,0.587867,?,?,0.5696223,?,0.5803123,?,?,?,?,?,blown,aerophone,aero_double-reed,Oboe
0.9998207,-0.3990557,1.039849,-0.399623705,1.035744215,0.000166599,-0.000156024,-0.001181221,0.001198753,0.000251998,-0.002523773,0.000693709,0.004273975,-0.000920583,-0.002357039,-0.003292652,0.000583662,252,471.9571,280.8178,651.3794,9.96e-008,-0.1807434,-0.1,-0.1956393,-0.2266528,-0.1955998,-0.1476853,-0.1706859,-0.1550154,-0.0900698,-0.1659069,-0.1762521,-0.1951841,-0.106397,-0.2062774,-0.1060188,-0.2016057,-0.1013743,-0.08582286,-0.1065891,-0.1360513,-0.1379483,-0.1442785,-0.151043,-0.1486755,-0.1823915,-0.1800618,-0.1728329,-0.1938019,-0.1933598,-0.1958927,-0.2200042,-0.2355203,-0.255442,333.3818,-0.9964438,-0.01372887,-0.07429753,-0.02688224,-0.00881927,-0.01260849,0.005492085,0.0111236,-0.006215732,0.004105781,0.008902606,-0.006622771,0.001160966,0.004334944,-0.006277358,0.000773916,-0.001211138,-0.000895486,-0.002287738,-0.000148102,-0.001614115,0.001320945,0.004178033,0.00137587,0.001278622,-0.001034311,0.000838588,-0.001118426,-0.001691117,-0.000206372,-0.000323634,0.000378481,-0.000164426,-0.9964438,0.0111236,-0.03385838,37.3441,0.1707532,0.05500888,0.9572029,0.9571117,0.9714866,1.010562,0.9536323,0.8611333,0.8383222,0.7977119,0.847191,0.8072984,0.6823183,0.7346864,0.782604,0.6600118,0.5932342,0.6741523,0.6164117,0.6175701,0.6529569,?,0.6595214,0.6542784,0.6922534,0.5802243,0.5696623,?,?,0.5781749,blown,aerophone,aero_double-reed,Oboe
0.9998207,-0.3835609,0.9994025,-0.384371805,0.99675654,-0.000877361,-0.000718323,0.002101583,-0.002657267,-0.004875822,0.00043728,0.002844979,-0.003228839,-0.001980835,-0.001362877,-0.001851726,-0.001919939,248,468.108,261.9601,654.071,5.65e-008,-0.1576286,-0.1,-0.2191927,-0.2072916,-0.1917604,-0.1965035,-0.203298,-0.1557776,-0.08380482,-0.1926452,-0.1988909,-0.1981588,-0.101817,-0.2087619,-0.09742141,-0.190604,-0.08529214,-0.08138903,-0.1077507,-0.1363033,-0.1185656,-0.1412454,-0.1283865,-0.147573,-0.1805458,-0.1793358,-0.1798584,-0.1862786,-0.1894727,-0.1937207,-0.2120571,-0.2255565,-0.2386032,354.0873,-0.9995184,0.02028846,-0.005335763,0.003942598,-0.00139358,0.009521595,0.005978319,0.00678941,-0.000983006,0.009827473,-0.009557738,0.001094517,-0.001329975,-0.003663539,0.002249694,-0.002376551,-0.00174071,0.008004073,0.000957159,-0.000740327,-0.005469774,0.000654003,0.000135194,-0.002557334,0.001289279,0.000510984,0.000158109,-0.000966646,0.002398144,0.000320745,0.001171476,-0.001179273,7.72E-05,-0.9995184,0.02028846,-0.02913467,34.79132,0.1716223,0.05500888,0.9451988,0.9557757,0.9890891,0.9876892,0.8995304,0.8287685,0.8366426,0.7957487,0.7162328,0.7792319,0.6209069,0.5799096,0.6850955,0.5876291,?,?,?,?,0.5770437,?,?,0.5578438,0.5704133,?,?,?,?,?,blown,aerophone,aero_double-reed,Oboe
0.9998207,-0.3669516,0.9771486,-0.368155149,0.977871727,0.002600606,-0.001923457,-0.004324626,-0.000686339,-0.003022307,-0.001928602,-0.001958001,0.003755259,-0.002049796,-0.00119815,-0.00199434,-0.001709558,243,471.11,268.7256,654.071,4.45e-008,-0.1612194,-0.1,-0.2331209,-0.2208724,-0.2003855,-0.1985112,-0.2053005,-0.1513838,-0.08554709,-0.1958634,-0.2018693,-0.2016075,-0.09572279,-0.2047144,-0.09450888,-0.1981389,-0.08941453,-0.08113391,-0.109231,-0.11725,-0.1216671,-0.1399094,-0.1284244,-0.1453873,-0.1621787,-0.1782264,-0.1697731,-0.1816747,-0.1840221,-0.1912419,-0.2092733,-0.221999,-0.2350797,353.9391,-0.9984005,0.04322631,-0.01056983,0.007696224,-0.01473115,0.01743748,0.01460691,0.004352139,0.00676979,-0.004857448,-0.006202887,-0.008533605,-0.009090769,-0.001646667,0.002825545,0.005279991,0.006613236,0.000135799,-0.004858188,0.00194091,-0.002037973,0.002275278,0.003689884,-0.000230054,-0.000955539,-0.002039317,0.000729891,0.000969998,0.000703131,0.000516803,-1.81E-05,-9.27E-05,-0.000414211,-0.9984005,0.04322631,-0.02863363,36.71317,0.1717066,0.05500888,0.9708354,0.9713688,0.9823363,1.00381,0.9120942,0.8834706,0.8627316,0.7565594,0.8125147,0.8185807,0.787877,0.5884098,0.7615299,0.6811852,0.6831668,0.6881646,0.5890638,0.623705,0.6483436,0.6246903,0.6033345,0.6242909,0.6705305,?,0.6076085,0.5798434,?,?,blown,aerophone,aero_double-reed,Oboe
