temporalCentroid,LogSpecCentroid,LogSpecSpread,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Energy,ZeroCrossings,SpecCentroid,SpecSpread,Rolloff,(No column name),bandsCoef1,bandsCoef2,bandsCoef3,bandsCoef4,bandsCoef5,bandsCoef6,bandsCoef7,bandsCoef8,bandsCoef9,bandsCoef10,bandsCoef11,bandsCoef12,bandsCoef13,bandsCoef14,bandsCoef15,bandsCoef16,bandsCoef17,bandsCoef18,bandsCoef19,bandsCoef20,bandsCoef21,bandsCoef22,bandsCoef23,bandsCoef24,bandsCoef25,bandsCoef26,bandsCoef27,bandsCoef28,bandsCoef29,bandsCoef30,bandsCoef31,bandsCoef32,bandsCoef33,bandsCoefSum,prj1,prj2,prj3,prj4,prj5,prj6,prj7,prj8,prj9,prj10,prj11,prj12,prj13,prj14,prj15,prj16,prj17,prj18,prj19,prj20,prj21,prj22,prj23,prj24,prj25,prj26,prj27,prj28,prj29,prj30,prj31,prj32,prj33,prjmin,prjmax,prjsum,prjdis,prjstd,LogAttackTime,HamoPk1,HamoPk2,HamoPk3,HamoPk4,HamoPk5,HamoPk6,HamoPk7,HamoPk8,HamoPk9,HamoPk10,HamoPk11,HamoPk12,HamoPk13,HamoPk14,HamoPk15,HamoPk16,HamoPk17,HamoPk18,HamoPk19,HamoPk20,HamoPk21,HamoPk22,HamoPk23,HamoPk24,HamoPk25,HamoPk26,HamoPk27,HamoPk28,playmethod,class1,class2,label
0.9934581,-0.8157794,1.25039,-0.818486167,1.250166788,-0.004982527,9.96E-05,-0.000344882,0.004250264,0.000664618,-0.003230518,0.004734816,-0.001644009,-0.004603786,0.000712868,0.002475289,-0.003342762,199,429.8913,476.8445,780.5786,5.25e-006,-0.2078199,-0.1,-0.2523953,-0.1509493,-0.1149379,-0.2567888,-0.2463429,-0.17789,-0.05863485,-0.2258528,-0.09726146,-0.2395199,-0.08487837,-0.1148026,-0.08505673,-0.1503294,-0.1290627,-0.08346437,-0.09322311,-0.1063367,-0.1190714,-0.1405353,-0.1212573,-0.1139766,-0.1301924,-0.1616659,-0.1605638,-0.1626025,-0.207444,-0.216542,-0.2195382,-0.2188794,-0.2257968,225.2037,-0.9978081,0.007963888,-0.05148245,0.01298704,-0.01141071,0.01685443,-0.02196369,0.01072915,0.01528066,0.001118002,-0.00143598,0.003204935,0.009530656,-0.002256691,0.006785096,-0.003547479,0.003943463,-0.00107804,-0.002024961,-0.003738857,0.000938069,0.002273533,0.005123379,-0.000943552,0.00065839,0.003344328,-0.000172483,0.001291561,0.000359142,-0.0004246,0.001093733,0.000481602,-1.56E-05,-0.9978081,0.01685443,-0.03013158,37.15469,0.17145,-0.3348084,1.092231,1.016819,1.023874,0.9661155,0.9891978,0.8688058,0.8288854,0.8331269,0.880137,0.8030382,0.7716534,0.7752846,0.6660733,0.7148489,?,0.664653,0.6425082,0.6312313,0.679083,0.6726512,0.6770247,0.6479263,0.5887959,0.6359295,0.5687038,0.6353276,0.6466204,0.6350871,blown,aerophone,aero_free-reed,Accordian
0.9934581,-0.8089268,1.280136,-0.813139549,1.281994079,0.001073498,-0.004115985,0.002089755,-0.004934026,0.001919361,0.00012327,-0.001221858,-0.001870583,0.004623902,-0.004583005,-0.001146557,-0.00715556,171,440.2961,490.7967,783.2703,8.44e-006,-0.2220257,-0.1,-0.263878,-0.1519994,-0.1151216,-0.2464371,-0.2453626,-0.1758888,-0.05876534,-0.2360693,-0.09744014,-0.2336346,-0.08531222,-0.1148179,-0.09003837,-0.1497398,-0.1197173,-0.0894862,-0.09008762,-0.1038395,-0.1143512,-0.1446112,-0.1167886,-0.1111649,-0.1349934,-0.1639165,-0.1602097,-0.1604753,-0.2043364,-0.2219879,-0.2198015,-0.2184526,-0.2325691,225.8862,-0.9981042,0.008250669,-0.04547924,0.0221266,-0.005599963,0.01631842,-0.0152504,0.006903106,-0.001024318,-0.001947253,-0.01109318,0.01238938,0.00185941,0.01287448,-0.000118565,-0.003192884,-0.005406463,0.002111903,0.005314772,-0.001237849,-0.002178571,0.001652679,0.004959018,-0.001657742,-0.0019231,-0.003217124,0.001313804,0.00184958,-0.001320139,0.000797873,-0.001546204,-0.000894467,0.000510792,-0.9981042,0.0221266,-0.0303624,37.06467,0.1714093,-0.3348084,1.092585,1.016396,1.022578,0.9616827,0.9736449,0.8660381,0.8751162,0.8348985,0.8270288,0.7647719,0.7122308,0.6771863,0.7023154,0.6558063,0.6127318,0.675086,0.6456229,0.6383221,0.6300205,0.6712569,0.6019561,0.6494391,0.6731286,?,0.6214932,0.6633118,0.5729482,0.6872051,blown,aerophone,aero_free-reed,Accordian
0.9934581,-0.7981301,1.249851,-0.79877168,1.248868364,0.002844792,0.000154333,-0.002433789,-0.003254163,0.004407191,0.001263904,0.002472958,-0.004558407,0.003179197,0.004614819,0.001721834,0.001150765,216,433.8839,477.8402,780.5786,4.94e-006,-0.2052861,-0.1,-0.2549754,-0.1518072,-0.1155696,-0.2590086,-0.2539379,-0.1775587,-0.05823271,-0.2281094,-0.09748767,-0.250541,-0.08611357,-0.1143395,-0.08272303,-0.1540509,-0.1356499,-0.08070435,-0.09266199,-0.110668,-0.1198011,-0.1351253,-0.1270113,-0.1105158,-0.1296734,-0.1624633,-0.1617635,-0.1631475,-0.2076887,-0.216873,-0.2167579,-0.2203687,-0.2257439,224.0497,-0.9981251,0.005340632,-0.04514111,0.01088663,-0.01071833,0.0242709,-0.000173725,0.008175506,0.01759474,0.01102557,-0.01023862,-0.002733367,0.007278873,-0.00339019,0.00619759,-0.007449105,-0.003108176,0.001018818,-0.003934555,0.0015149,0.006947241,0.000514583,-0.002706184,-0.000550938,0.000490913,0.000113036,-2.81E-05,0.000467607,0.001023555,0.001149069,0.001095362,-0.000221515,0.000447566,-0.9981251,0.0242709,-0.02978685,36.99217,0.1715103,-0.3348084,1.09368,1.017708,1.020519,0.9687542,0.9969038,0.8581154,0.8355365,0.8336587,0.8667271,0.7801237,0.7310738,0.7244783,0.7067935,0.7651714,0.6763787,0.6810792,0.6740606,0.6937072,0.7325028,0.6574071,0.6585308,0.6494718,0.7106369,0.6132939,0.6929261,0.5499339,0.679959,0.6579005,blown,aerophone,aero_free-reed,Accordian
0.9934581,-0.7866208,1.313543,-0.790184321,1.309029136,-0.001294836,0.00361248,0.004836847,0.001590592,0.00294426,0.000321702,0.000747146,-0.000278128,0.000357363,-0.000669896,0.00017091,0.002771179,167,455.3673,507.7345,783.2703,8.29e-006,-0.2060673,-0.1,-0.248843,-0.1543073,-0.1168728,-0.2736252,-0.2474654,-0.1762544,-0.05931786,-0.2326044,-0.09797841,-0.2336972,-0.08792898,-0.1153024,-0.09600902,-0.1514132,-0.1162148,-0.09652542,-0.08572995,-0.1075005,-0.1121448,-0.1442041,-0.1185151,-0.107801,-0.1367479,-0.1665321,-0.1631334,-0.1624423,-0.2125868,-0.218136,-0.22291,-0.2226835,-0.2287828,223.8601,-0.9984185,0.01011505,-0.03372221,0.02207893,0.005690967,0.02264817,-0.007856603,0.000159061,0.007472149,0.02259619,0.000582952,0.007751172,-0.00823192,-0.001509783,-0.006580793,0.00048578,0.003728647,-0.000253114,-0.000126636,-0.00111942,-0.004700917,-0.001808295,0.003770738,-0.002633899,0.000642658,-0.002809908,0.002765935,-0.001661792,-0.000244566,-0.00219865,0.000195896,-3.3E-05,-0.000716417,-0.9984185,0.02264817,-0.02921037,36.80457,0.1716094,-0.3348084,1.093871,1.017778,1.021861,0.9625034,0.9641232,0.8583088,0.8739265,0.7717876,0.8304057,0.7000591,0.6877864,0.735314,0.7194287,0.735818,0.6405577,0.6556475,0.6980125,0.6258512,0.5609545,0.6685834,0.5685645,0.5991416,0.6430491,?,0.5875686,0.6588452,0.6699404,0.7195898,blown,aerophone,aero_free-reed,Accordian
0.9934581,-0.7614769,1.255841,-0.765737824,1.260333179,-0.003995938,0.001389285,-0.000703567,0.001971782,-0.004414821,0.002160271,0.002509381,-0.002437321,0.000253976,-0.001229916,-0.001117564,-0.004474301,230,444.1688,482.2793,780.5786,7.54e-006,-0.2072202,-0.1,-0.2582917,-0.1531378,-0.117669,-0.2572211,-0.2498913,-0.1759239,-0.05845232,-0.2332739,-0.09948338,-0.2346137,-0.08886004,-0.1171895,-0.08049225,-0.161364,-0.1361716,-0.08080272,-0.0880697,-0.1186181,-0.117157,-0.1369837,-0.1283239,-0.1088116,-0.1327086,-0.1622424,-0.1593367,-0.1660919,-0.2041855,-0.2105164,-0.2146006,-0.2137327,-0.235253,223.4848,-0.9984776,0.01331414,-0.04297166,0.00426471,-0.01860671,0.01318947,-0.001203674,0.009239575,0.01610689,-0.000339518,-0.005237876,0.000199324,-0.001550032,0.001765371,-0.004910477,-0.002142758,-0.002228341,0.000123397,-0.004278815,0.003944965,0.002640013,0.001090276,-0.003944833,0.001430857,-0.000807424,0.000141872,-0.001201273,-0.000997314,0.001737822,0.001122527,-0.000129767,2.36E-05,-0.000463038,-0.9984776,0.01610689,-0.03088353,36.19969,0.1713162,-0.3348084,1.097354,1.018446,1.020414,0.9675486,1.007913,0.8524088,0.858766,0.8530348,0.8914517,0.8179761,0.7718658,0.7369365,0.6291201,0.727938,0.6790477,0.6870073,0.6261183,0.6814655,0.7088577,0.6532657,0.5609796,0.6371407,0.7196423,0.5670673,0.6759151,0.6856762,0.6366959,0.7011582,blown,aerophone,aero_free-reed,Accordian
0.9934581,-0.7363883,1.267999,-0.731736401,1.266204205,0.004724769,0.002151495,0.001949742,-0.004140786,0.00446861,0.003301613,0.000211879,0.002201503,0.00469,0.004651501,-0.002579409,0.006148872,222,453.5304,490.7612,780.5786,6.07e-006,-0.1912737,-0.1,-0.2746487,-0.1585288,-0.120314,-0.2522948,-0.2446364,-0.1742202,-0.05864399,-0.2410552,-0.1007788,-0.2302548,-0.09220037,-0.120182,-0.07971128,-0.173442,-0.1300747,-0.08378795,-0.08313282,-0.1253176,-0.1139469,-0.1429581,-0.1243206,-0.1103261,-0.1315663,-0.1611569,-0.1551206,-0.1682023,-0.1982836,-0.2009924,-0.2141379,-0.2090486,-0.2325918,224.8345,-0.9982107,0.02052695,-0.04321139,-0.003942147,-0.01036394,-0.004978876,0.005168999,-0.002455546,0.02162,-0.01981987,-0.006157981,-0.00154414,-0.001410209,0.000842445,-0.0108545,-0.000700784,0.004259153,-0.001652778,9.59E-05,0.003661951,-0.003337941,-0.001940742,0.000384711,0.004738264,-0.001655942,0.001466802,-0.000779522,-0.001077339,0.00134128,-5.38E-05,-0.001824457,0.001011945,0.000244551,-0.9982107,0.02162,-0.03183666,36.63545,0.1711416,-0.3348084,1.102161,1.016702,1.025769,0.9496218,1.012105,0.822509,0.8697568,0.7467826,0.8610768,0.7550399,0.8043095,0.7191775,0.7405008,0.6957777,0.7113221,0.6970068,0.7619777,0.6161342,0.657972,0.6678668,0.6819196,?,0.6643439,0.5869504,0.6351086,0.7179075,0.695861,0.6109591,blown,aerophone,aero_free-reed,Accordian
0.9934581,-0.7335621,1.343351,-0.734174188,1.341972488,-0.003481096,0.001404604,-0.000667583,-0.002441873,0.001547106,-0.001424867,0.003293373,0.0012457,-0.004216723,-0.000582811,-0.000669122,-0.003603527,169,476.2525,520.5439,783.2703,1.23e-005,-0.2017556,-0.1,-0.2506331,-0.1530128,-0.1160317,-0.2678836,-0.2576675,-0.1817643,-0.06058137,-0.2298412,-0.09841684,-0.2348162,-0.09098045,-0.1161416,-0.1006039,-0.1495248,-0.1102775,-0.1037835,-0.08039207,-0.1130751,-0.1095351,-0.1418422,-0.122666,-0.1068607,-0.1322195,-0.1630707,-0.160132,-0.1625513,-0.2115244,-0.216657,-0.2228893,-0.2224004,-0.2325714,224.7124,-0.998774,0.004826294,-0.0290257,0.01777777,0.01029698,0.01738907,-0.007476295,-0.008757434,0.002418626,0.0216174,0.004665606,0.007505501,-0.007460551,-0.003341867,-0.002117026,0.006481724,-0.003076434,-0.003271764,0.001801598,0.001730814,-0.002855372,-0.001551274,-0.004434891,-0.000481034,2.52E-05,0.00146419,8.36E-06,-0.001852673,-0.00018135,-0.000172405,-0.000616154,-0.000511201,-7.83E-05,-0.998774,0.0216174,-0.02963717,36.40759,0.1715362,-0.3348084,1.09037,1.01736,1.014315,0.9641253,0.9516413,0.869055,0.8946602,0.8432091,0.8309604,0.8060037,0.7622997,0.689853,0.6158744,0.7203883,0.6923853,0.7385167,0.6693973,0.6402996,0.6757474,0.6089541,0.6569774,0.6616468,0.5836519,0.6336363,0.6188432,0.6971374,0.6760707,0.7014791,blown,aerophone,aero_free-reed,Accordian
0.9934581,-0.7251327,1.253991,-0.722788044,1.254425867,-0.000934881,-0.001545904,-0.001031918,-0.002861398,-0.000487284,0.000158747,-0.004808253,-0.001755218,0.000330263,-0.003174365,-0.000281271,-0.004673436,222,451.085,482.7606,780.5786,1.2e-005,-0.1880343,-0.1,-0.2667169,-0.1566657,-0.1212986,-0.2494145,-0.2481094,-0.1743345,-0.05987266,-0.2346793,-0.1047067,-0.2445121,-0.09425859,-0.1259409,-0.07785257,-0.178314,-0.120732,-0.08644775,-0.08168862,-0.133133,-0.1185253,-0.1531484,-0.1226829,-0.1168111,-0.1301609,-0.1611588,-0.1588486,-0.1670926,-0.2012121,-0.1984325,-0.2136286,-0.2073132,-0.2323461,223.1495,-0.9982917,0.02531203,-0.03648379,-0.00696273,-0.01426951,-0.008522255,0.01290619,-0.01367409,0.01507359,-0.005373619,-0.01524773,-0.007236642,0.003643088,-0.008411021,-0.004729076,0.005337222,0.00260475,-0.001332849,0.005747081,-0.00018362,-0.003212633,-0.00190008,0.004046933,0.002583644,0.000631314,0.002247027,0.000235294,-0.000351479,-0.001545027,0.000435895,0.000929541,-8.46E-05,0.000193216,-0.9982917,0.02531203,-0.03169351,37.16359,0.1711682,-0.3348084,1.100317,1.013809,1.019852,0.9586787,1.021679,0.8317223,0.8946163,0.8425922,0.8705359,0.7937733,0.7273598,0.5998855,0.7519052,0.6030493,0.6583382,0.5714261,0.657986,0.620909,0.6693604,0.6676197,0.7095487,?,0.641517,0.5919907,0.6521813,0.6434038,0.6196184,0.6618493,blown,aerophone,aero_free-reed,Accordian
0.9934581,-0.7251327,1.253991,-0.722788044,1.254425867,-0.000934881,-0.001545904,-0.001031918,-0.002861398,-0.000487284,0.000158747,-0.004808253,-0.001755218,0.000330263,-0.003174365,-0.000281271,-0.004019934,222,451.085,482.7606,780.5786,1.2e-005,-0.1880343,-0.1,-0.2667169,-0.1566657,-0.1212986,-0.2494145,-0.2481094,-0.1743345,-0.05987266,-0.2346793,-0.1047067,-0.2445121,-0.09425859,-0.1259409,-0.07785257,-0.178314,-0.120732,-0.08644775,-0.08168862,-0.133133,-0.1185253,-0.1531484,-0.1226829,-0.1168111,-0.1301609,-0.1611588,-0.1588486,-0.1670926,-0.2012121,-0.1984325,-0.2136286,-0.2073132,-0.2323461,223.1495,-0.9982917,0.02531203,-0.03648379,-0.00696273,-0.01426951,-0.008522255,0.01290619,-0.01367409,0.01507359,-0.005373619,-0.01524773,-0.007236642,0.003643088,-0.008411021,-0.004729076,0.005337222,0.00260475,-0.001332849,0.005747081,-0.00018362,-0.003212633,-0.00190008,0.004046933,0.002583644,0.000631314,0.002247027,0.000235294,-0.000351479,-0.001545027,0.000435895,0.000929541,-8.46E-05,0.000193216,-0.9982917,0.02531203,-0.03169351,37.16359,0.1711682,-0.3348084,1.100317,1.013809,1.019852,0.9586787,1.021679,0.8317223,0.8946163,0.8425922,0.8705359,0.7937733,0.7273598,0.5998855,0.7519052,0.6030493,0.6583382,0.5714261,0.657986,0.620909,0.6693604,0.6676197,0.7095487,?,0.641517,0.5919907,0.6521813,0.6434038,0.6196184,0.6618493,blown,aerophone,aero_free-reed,Accordian
0.9934581,-0.6965464,1.360054,-0.697205227,1.361851006,-0.002982032,0.002013282,0.003395381,0.002462263,7.64E-05,0.002738231,-0.003011854,-0.000505906,0.003396327,-0.004813346,-0.001346159,-0.00232233,185,488.2235,520.5717,783.2703,9.77e-006,-0.1929345,-0.1,-0.2803912,-0.1497782,-0.11484,-0.2510371,-0.2482224,-0.1792112,-0.06135027,-0.2390094,-0.09793053,-0.23916,-0.09500252,-0.1151857,-0.1033726,-0.1504078,-0.1065756,-0.1116615,-0.07670052,-0.114989,-0.1062215,-0.1356983,-0.1256661,-0.1094042,-0.1281373,-0.1596576,-0.1581337,-0.1593975,-0.2086081,-0.2183531,-0.2268323,-0.2225975,-0.2314315,227.3688,-0.9985088,0.001041945,-0.02973938,0.02549684,0.02283927,0.006048287,0.004132056,-0.02400526,-0.001360085,-0.004901346,-0.000428934,0.006298291,-0.006865785,0.001562724,-0.00067267,-0.002748456,-0.01058276,0.00238429,0.001318622,-0.000191231,0.001238607,-0.000205952,-0.005694589,-0.000216995,0.001249535,0.002916646,-0.001375367,0.000964863,-0.001416671,-4.85E-05,0.000800049,0.0006764,-0.000439326,-0.9985088,0.02549684,-0.0306192,36.4545,0.1713636,-0.3348084,1.087139,1.015287,1.004694,0.9604811,0.9317868,0.854106,0.9026769,0.8136248,0.7043067,0.7395239,0.7085914,0.7212469,0.6949369,0.6189231,0.7025562,0.6838884,0.6731887,0.5665872,0.6001454,0.6504864,0.6750735,0.6712449,0.6016098,?,0.6868854,0.5938319,?,0.688035,blown,aerophone,aero_free-reed,Accordian
