temporalCentroid,LogSpecCentroid,LogSpecSpread,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Energy,ZeroCrossings,SpecCentroid,SpecSpread,Rolloff,(No column name),bandsCoef1,bandsCoef2,bandsCoef3,bandsCoef4,bandsCoef5,bandsCoef6,bandsCoef7,bandsCoef8,bandsCoef9,bandsCoef10,bandsCoef11,bandsCoef12,bandsCoef13,bandsCoef14,bandsCoef15,bandsCoef16,bandsCoef17,bandsCoef18,bandsCoef19,bandsCoef20,bandsCoef21,bandsCoef22,bandsCoef23,bandsCoef24,bandsCoef25,bandsCoef26,bandsCoef27,bandsCoef28,bandsCoef29,bandsCoef30,bandsCoef31,bandsCoef32,bandsCoef33,bandsCoefSum,prj1,prj2,prj3,prj4,prj5,prj6,prj7,prj8,prj9,prj10,prj11,prj12,prj13,prj14,prj15,prj16,prj17,prj18,prj19,prj20,prj21,prj22,prj23,prj24,prj25,prj26,prj27,prj28,prj29,prj30,prj31,prj32,prj33,prjmin,prjmax,prjsum,prjdis,prjstd,LogAttackTime,HamoPk1,HamoPk2,HamoPk3,HamoPk4,HamoPk5,HamoPk6,HamoPk7,HamoPk8,HamoPk9,HamoPk10,HamoPk11,HamoPk12,HamoPk13,HamoPk14,HamoPk15,HamoPk16,HamoPk17,HamoPk18,HamoPk19,HamoPk20,HamoPk21,HamoPk22,HamoPk23,HamoPk24,HamoPk25,HamoPk26,HamoPk27,HamoPk28,playmethod,class1,class2,label
0.9864,-1.248844234,0.589430097,-0.000342742,0.003572843,0.002765943,-1.5E-05,-0.00064676,-0.00236135,-0.002803972,0.002027404,0.001767677,-0.00487486,0.001776532,0.001556573,-0.004687068,-3.277679533,110,229.0790675,111.7560509,231.4819815,-1.89E-05,-0.2,-0.211401034,-0.213837428,-0.209438532,-0.203940334,-0.197973312,-0.190559869,-0.082349663,-0.18301881,-0.182205804,-0.175099196,-0.071406186,-0.179095998,-0.093652364,-0.161381689,-0.106390527,-0.128254633,-0.116836654,-0.144671107,-0.151741943,-0.153644568,-0.153543291,-0.167090689,-0.162588699,-0.174081476,-0.178739928,-0.186809353,-0.197574803,-0.188670422,-0.206586392,-0.212076825,-0.224507969,-0.233589825,382.4878711,-0.999398469,-0.005012425,-0.013915383,0.023671642,0.004900791,0.002798232,-0.003379418,0.001743633,-0.002310111,0.003269893,0.001182573,-0.003138944,-0.002701439,0.003418899,0.001759795,0.002227635,-0.00222749,0.002759029,0.002848388,0.00010993,0.00078238,0.000825344,5.96E-05,-9.72E-05,0.000110508,-0.00061915,0.000504148,-0.000645181,1.52E-05,-0.000323456,-3.5E-05,0.001072915,0.000124759,-0.999571067,0.024014449,-0.029848622,34.29940779,0.171512944,0.152569431,1.034232361,0.959685494,0.914718129,0.839549352,0.871520587,0.767980042,0.735503529,0.659991072,0.680336991,0.675228423,0.651391846,0.594851602,0.596312015,0.59696403,1.16E-05,0.602439584,0.606628145,0.569657194,-5.31E-05,0.566042137,0.573838214,5.15E-05,-2.57E-06,-1.37E-05,3.51E-06,-9.12E-05,-1.55E-05,-0.000123097,blown,aerophone,aero_side,?
0.9864,-1.063589339,0.654016966,-0.001542934,-0.004521832,0.002293863,0.000873107,0.00018071,-0.003628057,0.000597534,0.001300089,-0.002411692,0.000960886,0.00047412,-0.003896476,-0.001297391,-3.39134577,135,264.3430802,134.2989618,347.2230994,2.71E-05,-0.2,-0.212895946,-0.21373099,-0.206586123,-0.207612276,-0.19721982,-0.193007423,-0.09086235,-0.190214033,-0.197882134,-0.183757051,-0.078251797,-0.178877321,-0.092642742,-0.126303556,-0.098336494,-0.117195594,-0.133125744,-0.145692727,-0.14519214,-0.14833443,-0.165437244,-0.166216185,-0.172184925,-0.178994095,-0.185391294,-0.190363415,-0.196336772,-0.18264803,-0.201413684,-0.212175396,-0.220232751,-0.220134488,377.7060409,-0.999340486,0.015191211,0.008807336,-0.01150207,-0.008540404,-0.010572865,0.006425654,0.005657829,-0.009088068,0.00429956,0.00272665,0.001335753,0.003707491,-0.001835636,-0.002420254,-0.002111408,0.002860333,0.00075776,-0.001175131,-0.000618156,-0.000363646,0.000177501,0.000334835,0.001644107,0.000760621,-0.001359613,-0.000974428,0.001395847,0.001060385,-0.000628699,-0.000357911,5.8E-05,0.000815373,-0.999580284,0.015280864,-0.030029168,34.70834367,0.171566644,0.152550607,1.040072535,0.987486689,0.959723975,0.889959463,0.815116473,0.789772611,0.783690637,0.767263145,0.706121279,0.675022388,0.675722653,0.628848644,0.624029651,8.36E-05,0.593902146,0.596285323,-2.79E-05,0.000102704,-9.21E-05,-0.000289812,2.30E-05,3.67E-06,-3.13E-05,-8.43E-05,-5.40E-05,-3.13E-05,5.30E-05,6.05E-05,blown,aerophone,aero_side,?
0.9865,-1.468641544,0.563649832,0.001149019,-0.002094716,-0.002860901,0.001950464,0.002885754,0.003390803,-0.004226747,-0.004582963,-0.003434629,-0.002675947,0.001992696,0.000231059,-0.000363569,-4.07091,94,194.281,81.678,228.79,3.77E-07,-0.2,-0.204049112,-0.202815753,-0.203406404,-0.196969483,-0.191204911,-0.173184062,-0.078585751,-0.173400808,-0.176924152,-0.168623467,-0.073572161,-0.171419217,-0.10735388,-0.14967256,-0.123281066,-0.139282394,-0.130833354,-0.153300129,-0.16044769,-0.154477434,-0.161671478,-0.168912456,-0.170305527,-0.182070069,-0.193625779,-0.201499279,-0.204412329,-0.197991457,-0.211820434,-0.21787561,-0.219949999,-0.214957234,402.2351874,-0.998684864,-0.047918388,0.001519828,-0.002348749,0.01030943,-0.007910287,0.00450144,-0.003881901,0.001290845,-0.000296369,-0.003713418,0.006887371,0.004098108,0.000578474,0.000339507,-0.000569569,-0.000634793,0.001840101,0.004524343,0.000577038,-0.003408983,0.000113847,0.000217356,0.000887114,0.000321782,7.72E-05,-0.001326295,0.000259071,-0.000495794,0.00038014,0.000365041,-0.000326892,-0.000425154,-0.998684864,0.01030943,-0.031298589,34.99753277,0.17124085,0.152663,1.01148,0.89833,0.831121,0.776273,0.804578,0.732816,0.630088,0.663439,0.698152,0.662385,0.601632,0.586124,0.603477,0.610833,?,?,?,?,?,?,?,?,?,?,?,?,?,?,blown,aerophone,aero_side,?
0.9865,-1.459529653,0.574027331,0.001550165,0.001220142,-0.00142362,0.002559196,-0.00307861,0.001385201,0.001199436,0.000690891,-0.00453728,-0.003639941,-0.002954962,0.003861652,-0.000752243,-4.309633226,102,195.7610037,82.18860647,228.7899908,7.95E-05,-0.2,-0.196435175,-0.197659314,-0.196138561,-0.19187332,-0.185679784,-0.17321791,-0.081311625,-0.174516906,-0.175247778,-0.16591674,-0.075960187,-0.170772333,-0.10892592,-0.157406572,-0.12061598,-0.133396848,-0.137545613,-0.154051192,-0.161183027,-0.161317379,-0.164272182,-0.175298939,-0.178678176,-0.182237037,-0.191597892,-0.195573463,-0.203707549,-0.191424339,-0.212739616,-0.219608959,-0.22651923,-0.223713982,404.1807121,-0.99827321,-0.055322678,0.005830427,-0.003318238,0.002915473,0.007868726,-0.002027117,0.006809091,0.000419813,0.003347196,0.00103922,0.001918556,-0.004086333,-0.002160928,0.000617496,-0.000446576,0.002189995,0.002313898,-0.00190492,0.001907376,-0.002602143,-0.002198872,-0.00077931,-0.000570901,0.000451352,-0.000998756,0.000640511,-0.000929759,0.0004792,-5.24E-05,-0.00107183,-0.000100916,7.58E-05,-0.998369238,0.008043338,-0.031447079,35.0397884,0.171152706,0.15259929,1.015957123,0.908125634,0.860073024,0.813635958,0.802758256,0.73165761,0.684320005,-0.000107743,0.671933445,0.675576542,0.621615631,-0.000115508,0.572120008,-1.41E-05,5.15E-06,-8.23E-06,8.02E-05,0.000169318,6.32E-05,0.000199902,-0.000129597,6.28E-05,-5.85E-05,-7.26E-05,-2.84E-05,-1.23E-05,3.87E-05,-6.55E-05,blown,aerophone,aero_side,?
0.9865,-1.304897421,0.584949044,-0.001187147,0.001185156,0.004886516,0.00339585,-0.003114613,-0.003884038,-0.004147551,-0.004205514,-0.000586226,-0.002079197,0.002182569,-0.000201791,0.003349012,-3.431,111,219.997,107.273,231.482,1.33E-08,-0.2,-0.203429139,-0.210385337,-0.202534104,-0.200197561,-0.191654842,-0.185962005,-0.081189782,-0.184730529,-0.184793361,-0.176649773,-0.071720229,-0.173582799,-0.097095692,-0.164556033,-0.110263492,-0.132035829,-0.117998911,-0.146884009,-0.155552437,-0.151682636,-0.152284792,-0.166908202,-0.162963151,-0.173108494,-0.181550301,-0.191010333,-0.198266608,-0.186975543,-0.203773682,-0.213813076,-0.231171924,-0.243509934,385.37672,-0.999308223,-0.015928827,-0.010132766,0.02682715,-0.004526763,0.010824442,-0.008804454,-0.002207132,0.000804306,5.34E-05,-0.006120351,-0.004127242,-0.003378579,-0.001535968,0.001104959,-0.001510499,0.000530297,-0.001358648,-0.000717072,-0.000345231,0.001515977,-0.000655355,0.002740452,8.36E-05,-0.000135702,-0.000656685,-0.000545445,0.000494706,0.000254225,0.000224672,0.000462348,9.02E-05,-0.000419124,-0.999308223,0.02682715,-0.030800102,34.83750154,0.171331211,0.152663,1.02911,0.941236,0.890754,0.820784,0.854179,0.722486,0.664152,0.593635,0.669829,0.583353,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,blown,aerophone,aero_side,?
0.9866,-1.468622608,0.563686291,-0.00466855,0.00491853,-0.00335547,0.003692587,0.00222392,1.64E-06,0.004430864,-0.001179698,-0.002690371,0.003764532,-0.004481338,0.004979068,-0.001827929,-4.071148636,93,194.2809363,81.67803897,228.7899068,-0.000115569,-0.2,-0.204096404,-0.202762851,-0.203563297,-0.196907387,-0.191218326,-0.173265785,-0.078514984,-0.17339848,-0.17687138,-0.168656045,-0.073405256,-0.171257451,-0.10741577,-0.149649986,-0.123244751,-0.139295353,-0.130806571,-0.153323991,-0.160501104,-0.154491223,-0.161597302,-0.168939042,-0.170379081,-0.181991111,-0.193723608,-0.201232865,-0.204521754,-0.197931428,-0.211796602,-0.217562123,-0.220026993,-0.214787926,402.2349044,-0.998740146,-0.047824032,0.001559662,-0.002517563,0.010286124,-0.007891564,0.004379821,-0.003876488,0.001339682,-0.000218204,-0.003824742,0.006852527,0.004069249,0.000526745,0.000315136,-0.000404866,-0.000588643,0.001771198,0.004565104,0.000522915,-0.003448179,2.85E-05,0.000137058,0.000860363,0.000273372,5.88E-05,-0.001241881,0.000209588,-0.000301438,0.000529568,0.000479734,-0.000288849,-0.000582525,-0.998963605,0.01019188,-0.031410131,34.99755912,0.171277036,0.152611993,1.01145148,0.898281716,0.831083292,0.776093366,0.804642852,0.732578658,0.630102614,0.663556645,0.69829919,0.662272376,0.601480912,0.586145628,0.603416086,0.610878025,7.88E-05,-0.000146236,-0.000196337,-6.38E-05,1.88E-05,2.00E-05,-1.25E-05,3.46E-05,-0.000184459,8.68E-05,1.55E-05,-7.25E-05,-5.30E-05,-5.68E-05,blown,aerophone,aero_side,?
0.9866,-1.279950335,0.593515169,0.002054862,-0.003862036,0.000803074,-0.002692163,-0.001394067,-0.003506512,-0.002304865,-0.003647435,0.001128999,0.000144416,0.004386291,-0.000953426,-0.001994836,-3.457923753,132,223.4638377,100.7129247,231.4818458,8.74E-05,-0.2,-0.208715662,-0.21601007,-0.217898361,-0.208581805,-0.199704676,-0.179718446,-0.080351539,-0.180257773,-0.183174037,-0.176352514,-0.071209395,-0.180030872,-0.092726861,-0.148599112,-0.103102477,-0.124541646,-0.12914113,-0.148475064,-0.151534462,-0.156492496,-0.155602361,-0.163853065,-0.167140484,-0.176577313,-0.185653898,-0.19299671,-0.20013381,-0.187293451,-0.201628385,-0.214563504,-0.222317779,-0.225650248,392.1730481,-0.999747908,-0.003780818,-0.00577152,0.004454124,0.008308883,-0.001061224,-0.000130764,-0.000937647,0.008743215,0.000365957,0.009856977,0.00827191,0.003097836,0.002383246,0.001701814,-0.001483765,-0.002023789,-0.001240939,-0.00022464,-0.001945329,0.002840585,0.000553583,0.000668841,0.000102249,0.001017864,-0.001530615,-0.00080326,-0.00075667,-0.000147507,-0.000264358,3.43E-05,-0.000444966,0.000384692,-0.999818974,0.009812879,-0.029535731,33.88219791,0.171669739,0.15256729,1.028005728,0.947349806,0.904597905,0.833984244,0.806516169,0.718060182,0.707143578,0.691639088,8.52E-05,0.611177232,0.622585224,0.599035386,0.6102615,-1.45E-05,-0.000118553,-5.81E-05,-5.69E-05,-6.34E-05,-1.54E-05,1.36E-05,-6.40E-05,-3.30E-05,-0.00018938,-8.36E-05,2.95E-05,-0.000131984,-2.65E-05,-0.000114808,blown,aerophone,aero_side,?
0.9867,-0.90175228,0.630819238,-0.002288636,-0.002571987,-0.00062024,3E-05,-0.001678183,0.00218582,-0.004766957,0.002290939,-0.00278722,-0.000478481,0.004122058,0.003929025,-0.001304665,-2.600691758,155,294.0731561,141.6170579,460.2720026,-0.000135626,-0.2,-0.213180106,-0.22479326,-0.216992368,-0.213357135,-0.207939692,-0.19721792,-0.090136656,-0.18538196,-0.196826853,-0.187339123,-0.071662344,-0.180364256,-0.085406721,-0.127418273,-0.088164439,-0.098391921,-0.122246311,-0.150695544,-0.148369207,-0.138149256,-0.16088972,-0.165692327,-0.16769534,-0.172894678,-0.182186288,-0.189051991,-0.189004337,-0.176063789,-0.193855463,-0.207957587,-0.21634533,-0.245749697,375.2642479,-0.998669851,0.047716261,0.006924767,-0.004416066,0.002208103,0.005648961,-0.012937956,-0.00220428,-0.000682135,-0.00444082,-0.002514792,-0.003160135,0.003429102,-0.001613709,0.000282723,-0.0010626,0.002275256,-0.001258482,0.002626276,0.002838196,0.000405409,-0.000435362,-0.000112098,-0.000388208,0.00041861,-0.000200795,0.000878002,-0.001200233,-3.91E-05,0.000488478,-0.000390254,-3.48E-05,0.000431743,-0.998534643,0.047703305,-0.028895088,35.10690633,0.171646042,0.152655296,1.059323113,1.010180678,0.99810182,0.961548813,0.879308901,0.767416609,0.784610925,0.802900786,0.794991911,0.736633045,0.675427636,0.613983586,0.698411782,0.666583461,0.646722273,0.581974466,0.579117543,-0.000142625,0.596437113,-0.000136432,0.000269481,-0.000104077,3.11E-05,-1.00E-04,-7.71E-05,-9.75E-05,-9.13E-05,-8.21E-05,blown,aerophone,aero_side,?
1.2176,-1.991533651,0.237265007,0.00443496,-9.93E-05,0.004890238,-0.000400672,-0.004176705,-0.002732922,0.001712871,-0.001631825,-0.000692687,0.002313836,0.000457118,-0.003999179,0.003050037,-2.271552001,60,126.8669215,21.95503876,126.5081242,0.000173752,-0.2,-0.179531048,-0.174632123,-0.176526038,-0.175788648,-0.16685549,-0.147387824,-0.057391516,-0.0496222,-0.139499039,-0.161734246,-0.150548032,-0.133553009,-0.162733025,-0.113655685,-0.164400552,-0.15255133,-0.157308413,-0.164886645,-0.165708402,-0.177937118,-0.17359328,-0.192177719,-0.203472482,-0.206302797,-0.209695728,-0.212926164,-0.208760212,-0.215147127,-0.218462548,-0.219809237,-0.220591502,-0.213574218,370.1286382,-0.999766503,0.002601461,0.001697458,0.004416097,0.011526413,0.005923606,-0.002198648,0.003108721,-0.001368043,-0.005930751,0.000683257,0.001888385,-0.001259088,0.001507981,0.004265091,0.00503628,0.00394011,0.001698411,-0.00354791,-0.003108869,0.00066234,-0.002812144,-0.002330692,0.001646264,0.001018446,-5.23E-05,-0.000332822,-0.000113504,0.000797732,-0.000145756,0.000183007,-6.05E-05,-0.000190766,-0.999761373,0.011690734,-0.029401561,33.77400495,0.171741202,0.27669108,0.703866228,0.72036829,0.584236695,0.59209876,0.513688989,0.555942979,4.32E-05,-0.000112503,-6.53E-06,6.39E-05,-0.00016833,-8.78E-05,3.74E-05,1.29E-05,-9.83E-05,-6.44E-05,5.85E-05,-4.79E-06,1.65E-06,6.96E-05,-7.66E-05,7.02E-05,2.21E-05,-5.08E-05,-0.00010301,5.24E-05,-6.64E-05,-5.52E-05,blown,aerophone,aero_side,?
1.2178,-1.992343917,0.182392957,-0.001206565,0.002691924,-0.001821446,0.003982457,-0.003804664,-0.002011679,-0.001635817,-0.001111461,-0.001887324,-0.000203982,-0.002407168,0.001851887,-0.002979671,-2.35914484,60,126.3930879,19.779803,126.5079995,-4.23E-05,-0.2,-0.18147094,-0.181220806,-0.179249979,-0.17232552,-0.165492778,-0.149938567,-0.055630665,-0.050823954,-0.146416027,-0.162299471,-0.147065861,-0.126978945,-0.163380197,-0.117535954,-0.165620245,-0.144978857,-0.166852404,-0.167526921,-0.170496443,-0.168063474,-0.181648194,-0.191836791,-0.197880676,-0.203452271,-0.207299126,-0.211313739,-0.209461087,-0.213876016,-0.216438051,-0.217861885,-0.218469496,-0.211393498,375.5457513,-0.999751704,0.011934002,0.002640782,0.005207538,0.001928664,0.000999443,-0.006273641,0.003389496,0.000472903,0.008375997,0.001347656,0.001580228,0.006339626,-0.003543501,-0.003207974,-0.00204271,-0.001645849,0.000792509,0.000563336,-0.003546774,0.001145715,0.003497147,-0.000385507,-2.26E-05,0.000454871,0.000573499,-0.000663841,0.0001265,0.000161579,-0.000642762,-0.000120991,-0.000161872,5.37E-05,-0.999777098,0.01183016,-0.029389316,33.81151705,0.171659022,0.276736192,0.726241916,0.723051942,0.579115737,0.589574079,0.531909967,0.57304042,9.80E-05,0.564900265,-6.81E-05,-1.41E-05,7.59E-05,1.55E-05,-0.000249035,0.000152291,-0.000155002,-4.24E-05,-0.000177278,3.06E-05,-9.17E-05,-8.81E-05,2.82E-06,-2.62E-05,-2.39E-05,9.45E-05,-8.39E-06,0.000287018,-5.76E-08,0.000136571,blown,aerophone,aero_side,?
