temporalCentroid,LogSpecCentroid,LogSpecSpread,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Energy,ZeroCrossings,SpecCentroid,SpecSpread,Rolloff,(No column name),bandsCoef1,bandsCoef2,bandsCoef3,bandsCoef4,bandsCoef5,bandsCoef6,bandsCoef7,bandsCoef8,bandsCoef9,bandsCoef10,bandsCoef11,bandsCoef12,bandsCoef13,bandsCoef14,bandsCoef15,bandsCoef16,bandsCoef17,bandsCoef18,bandsCoef19,bandsCoef20,bandsCoef21,bandsCoef22,bandsCoef23,bandsCoef24,bandsCoef25,bandsCoef26,bandsCoef27,bandsCoef28,bandsCoef29,bandsCoef30,bandsCoef31,bandsCoef32,bandsCoef33,bandsCoefSum,prj1,prj2,prj3,prj4,prj5,prj6,prj7,prj8,prj9,prj10,prj11,prj12,prj13,prj14,prj15,prj16,prj17,prj18,prj19,prj20,prj21,prj22,prj23,prj24,prj25,prj26,prj27,prj28,prj29,prj30,prj31,prj32,prj33,prjmin,prjmax,prjsum,prjdis,prjstd,LogAttackTime,HamoPk1,HamoPk2,HamoPk3,HamoPk4,HamoPk5,HamoPk6,HamoPk7,HamoPk8,HamoPk9,HamoPk10,HamoPk11,HamoPk12,HamoPk13,HamoPk14,HamoPk15,HamoPk16,HamoPk17,HamoPk18,HamoPk19,HamoPk20,HamoPk21,HamoPk22,HamoPk23,HamoPk24,HamoPk25,HamoPk26,HamoPk27,HamoPk28,playmethod,class1,class2,label
0.5678415,-2.932471,0.8047043,-2.934828527,0.806496247,-0.003905456,0.000242946,-0.002547949,0.004010596,0.001664277,0.003445656,0.004378908,0.004212741,0.004630106,0.001930327,0.001609424,-0.001167782,43,79.87397,72.85584,67.29126,1.61e+137,-0.06927123,-0.1,-0.1111423,-0.06973717,-0.05508485,-0.1376022,-0.1432663,-0.1402838,-0.1149021,-0.1679478,-0.08082639,-0.1609958,-0.09919512,-0.1315759,-0.110995,-0.1214998,-0.1475751,-0.1349117,-0.1468248,-0.1618831,-0.2006289,-0.2088855,-0.2092748,-0.2210481,-0.2322749,-0.2339324,-0.2335879,-0.2377477,-0.2406656,-0.2429136,-0.2441881,-0.2462775,-0.2382039,313.3497,-0.9814635,-0.1743424,-0.06003245,0.03547526,0.01888309,-0.01035912,0.02108698,-0.01954351,0.001318454,-0.002832943,0.005585691,-0.001626119,0.002002832,-0.005942112,0.005250471,-6.76E-05,0.001806996,0.001291151,0.002096791,0.006821885,-0.003373879,0.001050611,-0.00010572,0.001158147,-8.98E-05,0.000105093,-0.00020342,-2.72E-05,6.63E-05,-0.000544346,-0.000439139,0.000658174,0.000127423,-0.9814635,0.03547526,-0.0350366,42.2556,0.1705153,-0.6963192,1.033334,0.8197916,0.8464788,0.6299534,0.8859638,0.707355,0.8251672,0.6341897,0.7213596,0.6643953,0.6989251,0.6408724,0.6956703,0.6361452,0.6830135,0.5995038,0.5589989,0.5257223,0.5928902,0.5540558,0.6130042,0.5999008,0.5503561,?,0.6855034,0.5737696,0.6585451,0.5629724,struck_Hrm,chordophone,chrd_simple,Piano
0.5678415,-2.847707,0.7655672,-2.847089975,0.765273994,-0.001626422,0.004101532,0.002150774,-0.003003076,0.001600344,0.004343073,-0.000891901,0.000412222,-0.000522522,0.004083878,-0.002644112,0.00664142,62,82.55307,67.43549,67.29126,5.03e-005,-0.07693509,-0.1,-0.1274744,-0.06547597,-0.05609539,-0.1438295,-0.1427489,-0.1518395,-0.1074716,-0.1803362,-0.07703491,-0.173512,-0.1028689,-0.1324591,-0.1104261,-0.1186493,-0.1519587,-0.1318762,-0.1544263,-0.1703509,-0.2049617,-0.2051124,-0.2001904,-0.2189061,-0.2294922,-0.2308122,-0.2321641,-0.2346172,-0.2361029,-0.2374601,-0.2389023,-0.2388857,-0.2317466,337.5499,-0.9844546,-0.1628391,-0.04544631,0.01844103,0.01565537,-0.02613696,0.0158911,-0.01959338,0.004276731,0.01165074,0.00333482,-0.001516574,0.000121732,-0.000999843,0.003295438,0.009105298,-0.008554408,0.002790997,-0.003230957,-0.000780347,-0.001740292,0.001397131,-0.000733309,0.000142547,0.000291344,0.001167355,4.61E-05,-0.000142135,-0.000435335,0.000989958,-2.32E-05,-8.49E-05,-0.000117025,-0.9844546,0.01844103,-0.03540094,41.49273,0.17044,-0.6963192,1.048714,0.8254341,0.8754127,0.6582288,0.928971,0.6868805,0.6859945,?,0.6670306,0.5751148,0.6178229,0.5965118,0.6343289,0.5590027,0.6754593,?,0.5661631,?,0.5647916,0.5816604,0.5786462,?,?,?,?,?,?,?,struck_Hrm,chordophone,chrd_simple,Piano
0.5678415,-2.773997,0.8438874,-2.77718584,0.842257712,0.004246045,-0.002578237,0.004304156,0.004189123,-0.000661476,-0.002196912,-0.000461834,-0.003296614,0.001422003,0.000237286,0.000994849,-0.004406028,42,87.36412,70.47816,126.5076,7.59e-008,-0.09587649,-0.1,-0.131649,-0.0824507,-0.06154061,-0.1678962,-0.1789381,-0.1599329,-0.09135774,-0.1817323,-0.09025822,-0.1808761,-0.09716378,-0.128035,-0.1263335,-0.1241589,-0.1259148,-0.1308966,-0.1459005,-0.1632636,-0.2137198,-0.2021698,-0.1970398,-0.2205843,-0.2226418,-0.2245504,-0.2263456,-0.2269113,-0.2284428,-0.2284057,-0.2293295,-0.2292786,-0.222893,368.6309,-0.9908505,-0.1305735,-0.00121901,0.002240115,-0.01147959,-0.02076942,0.003360446,0.01884974,0.001272494,-0.001712945,0.008097989,-0.003694973,0.002283729,0.004414583,-0.00511622,-0.00498738,-0.000152478,-0.000429471,-0.006948816,1.2E-05,-0.003766867,-0.000148627,-0.001967835,-4.14E-06,0.001326833,-0.000675965,-0.000600208,0.000290604,0.000465633,-0.000134098,0.000534493,-0.000477412,0.000407755,-0.9908505,0.01884974,-0.0346107,38.31526,0.1706023,-0.6963192,1.189018,0.7168992,1.06019,0.6397889,1.028061,?,0.8520396,0.6458256,?,?,?,0.634753,0.6526956,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,struck_Hrm,chordophone,chrd_simple,Piano
0.5678415,-2.773997,0.8438874,-2.77718584,0.842257712,0.004246045,-0.002578237,0.004304156,0.004189123,-0.000661476,-0.002196912,-0.000461834,-0.003296614,0.001422003,0.000237286,0.000994849,-0.003788239,42,87.36412,70.47816,126.5076,7.59e-008,-0.09587649,-0.1,-0.131649,-0.0824507,-0.06154061,-0.1678962,-0.1789381,-0.1599329,-0.09135774,-0.1817323,-0.09025822,-0.1808761,-0.09716378,-0.128035,-0.1263335,-0.1241589,-0.1259148,-0.1308966,-0.1459005,-0.1632636,-0.2137198,-0.2021698,-0.1970398,-0.2205843,-0.2226418,-0.2245504,-0.2263456,-0.2269113,-0.2284428,-0.2284057,-0.2293295,-0.2292786,-0.222893,368.6309,-0.9908505,-0.1305735,-0.00121901,0.002240115,-0.01147959,-0.02076942,0.003360446,0.01884974,0.001272494,-0.001712945,0.008097989,-0.003694973,0.002283729,0.004414583,-0.00511622,-0.00498738,-0.000152478,-0.000429471,-0.006948816,1.2E-05,-0.003766867,-0.000148627,-0.001967835,-4.14E-06,0.001326833,-0.000675965,-0.000600208,0.000290604,0.000465633,-0.000134098,0.000534493,-0.000477412,0.000407755,-0.9908505,0.01884974,-0.0346107,38.31526,0.1706023,-0.6963192,1.189018,0.7168992,1.06019,0.6397889,1.028061,?,0.8520396,0.6458256,?,?,?,0.634753,0.6526956,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,struck_Hrm,chordophone,chrd_simple,Piano
0.5678415,-2.739791,0.8782904,-2.741571564,0.882607607,0.000539211,0.00234171,-0.002020315,-0.000563233,-0.002800045,-0.000772385,-0.002521808,-0.00478244,-0.001398985,0.002508301,-0.0012893,0.00509869,54,90.78699,75.49182,129.1992,3.25e-006,-0.09410723,-0.1,-0.1241098,-0.08431733,-0.06186122,-0.1551883,-0.1752099,-0.1603796,-0.09193149,-0.1675669,-0.08561425,-0.1782402,-0.1031808,-0.135168,-0.1170066,-0.1196672,-0.1265923,-0.1296677,-0.1464676,-0.1637392,-0.2120249,-0.1983976,-0.1929758,-0.225499,-0.2283667,-0.2294295,-0.2313886,-0.2325713,-0.232532,-0.232804,-0.2334032,-0.2337413,-0.2284009,364.282,-0.9887888,-0.1438183,-0.01523401,0.01475477,-0.004107366,-0.01947267,0.008243808,0.01812292,0.005410237,0.002119174,0.005769146,0.001313896,-0.01256526,0.000865322,0.005528003,-0.008350741,-0.000551669,-0.002789156,0.003549114,-0.001816433,0.002160056,0.002858212,0.001732563,0.001334459,-0.000523343,-0.000663534,0.000287039,0.000357364,0.000258627,0.000346337,0.000410186,-0.000378384,1.73E-05,-0.9887888,0.01812292,-0.03404913,39.46022,0.1707152,-0.6963192,0.9117355,0.9310439,0.8720591,0.7894676,0.8288074,0.832922,0.8066945,0.6623716,0.8014285,0.6737295,0.7517108,0.6330918,0.6908903,?,0.538073,?,?,?,?,?,?,?,?,?,?,?,?,?,struck_Hrm,chordophone,chrd_simple,Piano
0.5678415,-2.582547,0.9941518,-2.58524075,0.991416694,0.001456133,-0.004080608,-0.001263241,-0.001802785,-0.003428545,-0.003565275,-0.004855703,0.003533206,0.002184246,0.000214691,-0.00458749,0.003493996,57,107.3326,92.80676,193.7988,5.27e-005,-0.09051596,-0.1,-0.1192572,-0.09136224,-0.0703809,-0.1636298,-0.1593212,-0.1578047,-0.09835495,-0.1776218,-0.08231985,-0.1754919,-0.1080336,-0.1412531,-0.1141194,-0.1207212,-0.1386029,-0.1346354,-0.1495412,-0.1719912,-0.2083531,-0.2014832,-0.1974083,-0.2202951,-0.2242683,-0.226146,-0.2278246,-0.2297156,-0.2309449,-0.2321694,-0.2333711,-0.2332291,-0.2262091,346.0112,-0.9899666,-0.1336332,-0.02752514,0.01705034,-0.001921449,-0.02269906,0.008839806,0.000360761,0.007381964,0.001166507,-0.000563564,0.005429903,-0.01038123,0.0102168,0.002638848,0.005877268,0.00730317,-0.003016051,0.000201984,-0.00292529,0.004617428,-0.005430128,-9.16E-05,-0.000582656,-0.000506945,-6.18E-05,0.000128069,-0.000421329,-0.000182964,-0.00069967,-0.000449892,9.73E-05,9.95E-05,-0.9899666,0.01705034,-0.03423179,39.447,0.1706787,-0.6963192,1.071446,0.8075572,0.9527915,0.6417856,0.9586224,0.6544605,0.724956,0.6107985,0.6328672,0.6136234,0.6618519,?,?,0.6253774,0.6221177,?,?,?,?,?,?,?,?,0.569239,0.5816361,?,?,?,struck_Hrm,chordophone,chrd_simple,Piano
0.5887395,-2.890848,0.8540639,-2.886385018,0.855326333,-0.000397118,0.003080738,0.003976042,-0.002549305,0.002638016,0.002796098,0.002085725,-0.000486751,-0.001399027,0.000422988,0.004213027,-0.000705388,47,84.32137,80.35764,67.29126,1.61e+137,-0.07456302,-0.1,-0.1149818,-0.07501016,-0.06086441,-0.1404951,-0.1457895,-0.1432009,-0.1173836,-0.1667118,-0.0856464,-0.159931,-0.0971641,-0.1345989,-0.1087652,-0.1250114,-0.1511348,-0.1317319,-0.1478757,-0.1621979,-0.201304,-0.2045434,-0.2052436,-0.2176078,-0.2316203,-0.2331829,-0.2330391,-0.2369816,-0.2397771,-0.2419549,-0.2431958,-0.2451418,-0.2373462,324.6266,-0.9828095,-0.1664635,-0.05876266,0.03710957,0.02098395,-0.005128639,0.02509623,-0.01659676,-0.002564355,0.000867159,0.004292528,-0.00198094,0.007918441,8.21E-05,0.004212282,0.001592049,0.002451198,-0.002088418,0.001883229,0.005420566,-0.00381196,0.000881806,0.000299282,0.000579,0.000348819,0.000497331,-0.000475353,-0.000330754,0.000567655,-8.63E-05,0.000417923,2.08E-05,0.000699548,-0.9828095,0.03710957,-0.0340872,42.02786,0.1707076,-0.6963192,1.034058,0.8164946,0.8479038,0.6200522,0.88354,0.7025334,0.8201189,0.636391,0.7162196,0.6603383,0.6919612,0.6316579,0.689487,0.6305831,0.6757464,0.5867538,0.5468442,0.5334795,0.5928243,0.5426677,0.6076141,0.5935274,0.5402239,?,0.6795719,0.567043,0.6523013,0.5532007,struck_Hrm,chordophone,chrd_simple,Piano
0.5887395,-2.797306,0.8229384,-2.801731691,0.823170213,-0.000382556,0.001729073,0.004206818,-0.002899926,0.001107193,-4.52E-05,0.003134945,0.002268578,-0.004545552,0.002462008,-0.003009493,0.006372218,66,87.95201,76.60898,129.1992,1.59e-005,-0.08188374,-0.1,-0.1309613,-0.07073559,-0.06163426,-0.1467886,-0.1457135,-0.1539965,-0.1106707,-0.1815836,-0.08193394,-0.1736714,-0.09656118,-0.1357186,-0.1076928,-0.1223323,-0.1525868,-0.1288034,-0.1524965,-0.1674549,-0.2056893,-0.2003272,-0.1953475,-0.2155401,-0.229386,-0.2305577,-0.232032,-0.2344336,-0.2358565,-0.237201,-0.2385607,-0.2384469,-0.2315541,347.7967,-0.9855219,-0.1566984,-0.04148431,0.0214076,0.01820794,-0.0198573,0.02551809,-0.01608732,0.005701534,0.01151732,0.003564452,0.000685764,0.001467933,-0.003452087,0.00334216,0.008330866,-0.00914329,-0.000926476,-0.002842543,-0.001769735,-0.0019528,-0.000311212,-0.000583614,2.9E-05,-0.000893431,-0.001401186,0.00065422,0.000681282,-0.000147862,0.000599295,-0.000184055,-0.000124652,-0.00045423,-0.9855219,0.02551809,-0.03460997,41.49503,0.1706024,-0.6963192,1.049808,0.8218699,0.8745037,0.6626342,0.9274993,0.6815752,0.7543858,?,0.6598746,0.562443,0.622955,0.5902481,0.6241768,0.5563916,0.6678525,?,0.5592627,?,0.5560678,0.5713326,0.5700445,?,?,?,?,?,?,?,struck_Hrm,chordophone,chrd_simple,Piano
0.5887395,-2.687386,0.9184612,-2.688763907,0.920843205,-0.001135142,0.001735064,-0.001010802,0.003272186,-0.000245385,0.000883698,0.002980677,8E-05,-3.62E-05,0.001684059,-0.003838114,0.00595779,50,96.61392,84.63234,131.8909,2.44e-008,-0.1003173,-0.1,-0.1351638,-0.08707355,-0.0666723,-0.1701169,-0.1817779,-0.1623335,-0.09532325,-0.182667,-0.0946635,-0.1806541,-0.09328755,-0.1314901,-0.1181145,-0.1277655,-0.1233015,-0.1281874,-0.1434,-0.1600589,-0.2131163,-0.1982459,-0.1928355,-0.2197448,-0.2224421,-0.224331,-0.2260903,-0.2268454,-0.2283014,-0.2282155,-0.2290952,-0.2291926,-0.2228071,377.7695,-0.9914635,-0.1263921,0.002343315,0.005505338,-0.01108714,-0.01985396,0.003889422,0.015734,0.000778377,-0.004157113,0.007358457,-0.004255605,-0.003178146,-0.001187751,-0.004788647,-0.004718423,-0.000880608,-7.71E-05,-0.006312065,-0.00076061,-0.002794184,-0.00257247,-0.001887976,-0.000469964,-0.000901956,0.000940016,-0.000572239,-0.00063667,-0.000274826,-0.000476696,-0.000372438,0.000568074,-0.00015421,-0.9914635,0.015734,-0.03494271,38.05008,0.1705346,-0.6963192,1.193851,0.7259543,1.062615,?,1.029144,?,0.8665883,0.653812,?,?,?,?,0.6550097,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,struck_Hrm,chordophone,chrd_simple,Piano
0.5887395,-2.656002,0.9602984,-2.659621819,0.963968126,-0.002837579,0.00158014,0.001150938,0.003099471,-0.003385364,0.003276621,-0.001585462,0.004915819,0.004513996,0.001209405,-0.003707634,0.003702276,60,100.3064,89.57896,193.7988,1.03e-006,-0.09770675,-0.1,-0.1272164,-0.08854258,-0.06674308,-0.1571569,-0.1766342,-0.1628236,-0.09532139,-0.1695156,-0.08976671,-0.1766178,-0.0960719,-0.1378356,-0.1115343,-0.1228664,-0.1234989,-0.1263764,-0.1430442,-0.1597045,-0.2112809,-0.1933709,-0.1877869,-0.2250302,-0.2293367,-0.2301121,-0.2323292,-0.2333281,-0.2331307,-0.2332899,-0.2337197,-0.2340007,-0.2289399,375.1308,-0.9891077,-0.142204,-0.00953526,0.01825945,-0.002659158,-0.01438242,0.01133155,0.01584268,0.008385036,-0.004282802,0.007110821,-0.000602168,-0.005861482,0.01123621,0.006665241,-0.006741243,0.000850233,0.001411058,0.004069142,-0.002070698,0.000401016,0.00258087,0.001531091,0.001387751,0.000732274,0.000395329,-0.000356018,-0.000321583,-0.000379033,0.000199002,-0.00046333,0.00030972,-0.000485769,-0.9891077,0.01825945,-0.03293194,39.3909,0.1709342,-0.6963192,0.9118184,0.9298148,0.9034445,0.7855531,0.852142,0.8295949,0.8204185,0.6554672,0.8163445,0.666731,0.7664659,0.6253921,0.7042861,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,struck_Hrm,chordophone,chrd_simple,Piano
