@relation train_playmethod_class1_class2_V2

@attribute temporalCentroid numeric
@attribute LogSpecCentroid numeric
@attribute LogSpecSpread numeric
@attribute Energy numeric
@attribute ZeroCrossings numeric
@attribute SpecCentroid numeric
@attribute SpecSpread numeric
@attribute Rolloff numeric
@attribute Flux numeric
@attribute bandsCoefSum numeric
@attribute prjmin numeric
@attribute prjmax numeric
@attribute prjsum numeric
@attribute prjdis numeric
@attribute prjstd numeric
@attribute LogAttackTime numeric
@attribute playmethod {blown,string,struck_Hrm}
@attribute class1 {aerophone,chordophone}
@attribute class2 {aero_single-reed,chrd_composite,aero_lip-vibrated,chrd_simple,aero_double-reed,aero_free-reed,aero_side}
@attribute mix1_instrument {TenorSaxophone,ElectricGuitar,DTrumpet,TenorTrombone,Violin,CTrumpet,B-flatclarinet,Piano,DoubleBass,Oboe,Accordian}

@data
1.445637,-0.091895,1.004845,-0.001986,275,600.1274,453.46,1173.56,0.000002,326.656,-0.99634,0.080351,-0.027439,36.76271,0.171902,0.313422,blown,aerophone,aero_single-reed,TenorSaxophone
1.67324,-0.997573,0.753987,0.000156,126,293.8998,214.72,263.7817,0,382.0025,-0.999491,0.019636,-0.030385,34.54724,0.171405,0.365883,blown,aerophone,aero_single-reed,TenorSaxophone
1.22923,0.10381,0.981591,0.002638,196,672.7206,468.134,1302.759,0.000006,309.7521,-0.998929,0.025756,-0.028711,35.94282,0.171694,-0.20188,blown,aerophone,aero_single-reed,TenorSaxophone
1.132893,-1.383237,0.685993,-0.004116,125,216.6212,116.7749,390.2893,0,415.3852,-0.998647,0.045682,-0.029481,35.0335,0.171563,-0.712472,string,chordophone,chrd_composite,ElectricGuitar
1.520376,-0.89685,1.098561,0.000833,159,362.1826,318.9582,651.3794,0,358.5952,-0.998696,0.032508,-0.030373,36.17678,0.171407,-0.312404,blown,aerophone,aero_lip-vibrated,DTrumpet
1.073628,-1.508863,0.6343,-0.001074,125,196.0527,104.6181,384.906,0,443.6512,-0.997337,0.068812,-0.029684,35.71874,0.171528,-0.476059,string,chordophone,chrd_composite,ElectricGuitar
1.445637,-0.110056,0.883388,-0.009187,203,569.9575,418.7438,1049.744,0.000001,342.844,-0.995561,0.077239,-0.029668,38.4303,0.171531,0.313422,blown,aerophone,aero_single-reed,TenorSaxophone
1.002778,-0.282264,0.736938,-0.000544,239,466.916,273.3554,522.1802,0.000001,358.0585,-0.999503,0.01134,-0.031823,34.44106,0.171144,0.093207,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.041239,-0.596589,0.709046,0.005124,288,370.2467,179.8501,519.4885,0,398.0981,-0.999601,0.003551,-0.032018,34.01491,0.171108,0.218611,blown,aerophone,aero_lip-vibrated,TenorTrombone
0.982023,-1.217999,1.09282,-0.006733,217,307.5424,324.9972,659.4543,0.000023,324.763,-0.997366,0.052402,-0.026158,37.24116,0.172101,-0.071555,string,chordophone,chrd_composite,Violin
1.448017,0.064096,0.925964,-0.007251,230,648.3226,464.0328,1302.759,0.000009,308.2169,-0.996558,0.073767,-0.027384,37.22292,0.17191,0.321853,blown,aerophone,aero_single-reed,TenorSaxophone
1.52806,-0.932528,1.190378,-0.007593,124,361.0356,300.9706,777.887,0,384.369,-0.999407,0.02668,-0.028828,34.71466,0.171674,-0.231911,blown,aerophone,aero_lip-vibrated,CTrumpet
1.917447,-0.881657,1.213385,-0.000574,189,387.2507,331.8074,909.7778,0,387.945,-0.99869,0.028743,-0.030429,35.19807,0.171398,-0.022712,blown,aerophone,aero_single-reed,B-flatclarinet
