temporalCentroid,LogSpecCentroid,LogSpecSpread,Energy,ZeroCrossings,SpecCentroid,SpecSpread,Rolloff,Flux,bandsCoefSum,prjmin,prjmax,prjsum,prjdis,prjstd,LogAttackTime,playmethod,class 1,class2,mix1_instrument
1.445637,-0.09189494,1.004845,-0.00198589,275,600.1274,453.46,1173.56,1.87E-06,326.656,-0.9963395,0.08035132,-0.02743884,36.76271,0.1719015,0.3134224,blown,aerophone,aero_single-reed,TenorSaxophone
1.67324,-0.9975726,0.7539871,0.000155912,126,293.8998,214.72,263.7817,2.97E-09,382.0025,-0.9994915,0.01963572,-0.03038464,34.54724,0.1714054,0.3658826,blown,aerophone,aero_single-reed,TenorSaxophone
1.22923,0.1038104,0.9815913,0.002638121,196,672.7206,468.134,1302.759,6.38E-06,309.7521,-0.998929,0.02575572,-0.02871134,35.94282,0.1716936,-0.2018804,blown,aerophone,aero_single-reed,TenorSaxophone
1.132893,-1.383237,0.6859932,-0.004115753,125,216.6212,116.7749,390.2893,3.55E-09,415.3852,-0.9986471,0.04568187,-0.02948053,35.0335,0.1715632,-0.7124725,string,chordophone,chrd_composite,ElectricGuitar
1.520376,-0.8968503,1.098561,0.000832715,159,362.1826,318.9582,651.3794,6.35E-10,358.5952,-0.9986963,0.03250792,-0.03037338,36.17678,0.1714074,-0.3124043,blown,aerophone,aero_lip-vibrated,DTrumpet
1.073628,-1.508863,0.6343002,-0.001074103,125,196.0527,104.6181,384.906,8.60E-10,443.6512,-0.9973369,0.06881154,-0.02968445,35.71874,0.171528,-0.476059,string,chordophone,chrd_composite,ElectricGuitar
1.445637,-0.110056,0.8833876,-0.00918706,203,569.9575,418.7438,1049.744,7.83E-07,342.844,-0.9955612,0.07723933,-0.02966779,38.4303,0.1715309,0.3134224,blown,aerophone,aero_single-reed,TenorSaxophone
1.002778,-0.2822642,0.7369384,-0.000544134,239,466.916,273.3554,522.1802,5.69E-07,358.0585,-0.9995026,0.01134026,-0.0318233,34.44106,0.1711441,0.0932072,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.041239,-0.5965892,0.7090458,0.005124083,288,370.2467,179.8501,519.4885,3.71E-09,398.0981,-0.9996008,0.003550655,-0.03201828,34.01491,0.1711077,0.2186105,blown,aerophone,aero_lip-vibrated,TenorTrombone
0.9820233,-1.217999,1.09282,-0.006732726,217,307.5424,324.9972,659.4543,2.28E-05,324.763,-0.9973655,0.05240174,-0.02615831,37.24116,0.1721011,-0.07155538,string,chordophone,chrd_composite,Violin
