Id,Instrument
1,Double
2,Double
3,Double
4,Double
5,Double
6,Double
7,Double
8,Double
9,Double
10,Double
11,Double
12,Double
13,Double
14,Double
15,Double
16,Double
17,Double
18,Double
19,Double
20,Double
21,Double
22,Double
23,Double
24,Double
25,Double
26,Double
27,Double
28,Double
29,Double
30,Double
31,Double
32,Double
33,Double
34,Double
35,Double
36,Double
37,Double
38,Double
39,Double
40,Double
41,Double
42,Double
43,Double
44,Double
45,Double
46,Double
47,Double
48,Double
49,Double
50,Double
51,Double
52,Double
53,Double
54,Double
55,Double
56,Double
57,Double
58,Double
59,Double
60,Double
61,Double
62,Double
63,Double
64,Double
65,Double
66,Double
67,Double
68,Double
69,Double
70,Double
71,Double
72,Double
73,Double
74,Double
75,Double
76,Double
77,Double
78,Double
79,Double
80,Double
81,Double
82,Double
83,Double
84,Double
85,Double
86,Double
87,Double
88,Double
89,Double
90,Double
91,Double
92,Double
93,Double
94,Double
95,Double
96,Double
97,Double
98,Double
99,Double
100,Double
101,Double
102,Double
103,Double
104,Double
105,Double
106,Double
107,Double
108,Double
109,Double
110,Double
111,Double
112,Double
113,Double
114,Double
115,Double
116,Double
117,Double
118,Double
119,Double
120,Double
121,Double
122,Double
123,Double
124,Double
125,Double
126,Double
127,Double
128,Double
129,Double
130,Double
131,Double
132,Double
133,Double
134,Double
135,Double
136,Double
137,Double
138,Double
139,Double
140,Double
141,Double
142,Double
143,Double
144,Double
145,Double
146,Double
147,Double
148,Double
149,Double
150,Double
151,Double
152,Double
153,Double
154,Double
155,Double
156,Double
157,Double
158,Double
159,Double
160,Double
161,Double
162,Double
163,Double
164,Double
165,Double
166,Double
167,Double
168,Double
169,Double
170,Double
171,Double
172,Double
173,Double
174,Double
175,Double
176,Double
177,Double
178,Double
179,Double
180,Double
181,Double
182,Double
183,Double
184,Double
185,Double
186,Double
187,Double
188,Double
189,Double
190,Double
191,Double
192,Double
193,Double
194,Double
195,Double
196,Double
197,Double
198,Double
199,Double
200,Double
201,Double
202,Double
203,Double
204,Double
205,Double
206,Double
207,Double
208,Double
209,Double
210,Double
211,Double
212,Double
213,Double
214,Double
215,Double
216,Double
217,Double
218,Double
219,Double
220,Double
221,Double
222,Double
223,Double
224,Double
225,Double
226,Double
227,Double
228,Double
229,Double
230,Double
231,Double
232,Double
233,Double
234,Double
235,Double
236,Double
237,Double
238,Double
239,Double
240,Double
241,Double
242,Double
243,Double
244,Double
245,Double
246,Double
247,Double
248,Double
249,Double
250,Double
251,Double
252,Double
253,Double
254,Double
255,Double
256,Double
257,Double
258,Double
259,Double
260,Double
261,Double
262,Double
263,Double
264,Double
265,Double
266,Double
267,Double
268,Double
269,Double
270,Double
271,Double
272,Double
273,Double
274,Double
275,Double
276,Double
277,Double
278,Double
279,Double
280,Double
281,Double
282,Double
283,Double
284,Double
285,Double
286,Double
287,Double
288,Double
289,Double
290,Double
291,Double
292,Double
293,Double
294,Double
295,Double
296,Double
297,Double
298,Double
299,Double
300,Double
301,Double
302,Double
303,Double
304,Double
305,Double
306,Double
307,Double
308,Double
309,Double
310,Double
311,Double
312,Double
313,Double
314,Double
315,Double
316,Double
317,Double
318,Double
319,Double
320,Double
321,Double
322,Double
323,Double
324,Double
325,Double
326,Double
327,Double
328,Double
329,Double
330,Double
331,Double
332,Double
333,Double
334,Double
335,Double
336,Double
337,Double
338,Double
339,Double
340,Double
341,Double
342,Double
343,Double
344,Double
345,Double
346,Double
347,Double
348,Double
349,Double
350,Double
351,Double
352,Double
353,Double
354,Double
355,Double
356,Double
357,Double
358,Double
359,Double
360,Double
361,Double
362,Double
363,Double
364,Double
365,Double
366,Double
367,Double
368,Double
369,Double
370,Double
371,Double
372,Double
373,Double
374,Double
375,Double
376,Double
377,Double
378,Double
379,Double
380,Double
381,Double
382,Double
383,Double
384,Double
385,Double
386,Double
387,Double
388,Double
389,Double
390,Double
391,Double
392,Double
393,Double
394,Double
395,Double
396,Double
397,Double
398,Double
399,Double
400,Double
401,Double
402,Double
403,Double
404,Double
405,Double
406,Double
407,Double
408,Double
409,Double
410,Double
411,Double
412,Double
413,Double
414,Double
415,Double
416,Double
417,Double
418,Double
419,Double
420,Double
421,Double
422,Double
423,Double
424,Double
425,Double
426,Double
427,Double
428,Double
429,Double
430,Double
431,Double
432,Double
433,Double
434,Double
435,Double
436,Double
