Id,Instrument
1,Trumpet
2,Saxophone
3,DoubleBass
4,Clarinet
5,Trumpet
6,Saxophone
7,Trumpet
8,Piano
9,Oboe
10,Saxophone
11,Clarinet
12,Trumpet
13,Trumpet
14,Saxophone
15,DoubleBass
16,Clarinet
17,ElectricGuitar
18,Trombone
19,Clarinet
20,Trumpet
21,Trumpet
22,Saxophone
23,ElectricGuitar
24,Accordian
25,ElectricGuitar
26,DoubleBass
27,Saxophone
28,Saxophone
29,Clarinet
30,Trumpet
31,Trumpet
32,Trumpet
33,Saxophone
34,Clarinet
35,Clarinet
36,Clarinet
37,Clarinet
38,Saxophone
39,Accordian
40,Saxophone
41,Clarinet
42,Trumpet
43,Saxophone
44,Clarinet
45,Saxophone
46,Trumpet
47,Violin
48,Saxophone
49,Saxophone
50,ElectricGuitar
51,Saxophone
52,Accordian
53,Saxophone
54,Trumpet
55,Clarinet
56,Clarinet
57,Trombone
58,Trumpet
59,Saxophone
60,Trumpet
61,Violin
62,Clarinet
63,ElectricGuitar
64,Clarinet
65,Trombone
66,Saxophone
67,Saxophone
68,Saxophone
69,Clarinet
70,Saxophone
71,Trumpet
72,Oboe
73,Trumpet
74,Saxophone
75,Oboe
76,Trumpet
77,Saxophone
78,ElectricGuitar
79,Trombone
80,Clarinet
81,Clarinet
82,Clarinet
83,Saxophone
84,Saxophone
85,Trumpet
86,Saxophone
87,Trumpet
88,Clarinet
89,Clarinet
90,Accordian
91,Accordian
92,Trumpet
93,Saxophone
94,Clarinet
95,Clarinet
96,Saxophone
97,Clarinet
98,Piano
99,Saxophone
100,DoubleBass
101,Trumpet
102,Trumpet
103,Clarinet
104,Saxophone
105,Accordian
106,Clarinet
107,Clarinet
108,Saxophone
109,Saxophone
110,Clarinet
111,Clarinet
112,ElectricGuitar
113,ElectricGuitar
114,Clarinet
115,Saxophone
116,Violin
117,Clarinet
118,Clarinet
119,Clarinet
120,DoubleBass
121,Clarinet
122,Trumpet
123,Trumpet
124,Clarinet
125,Clarinet
126,Saxophone
127,Saxophone
128,Trombone
129,Trumpet
130,Clarinet
131,Trumpet
132,Piano
133,Trombone
134,DoubleBass
135,Piano
136,Clarinet
137,Saxophone
138,Clarinet
139,Clarinet
140,Accordian
141,Clarinet
142,Piano
143,Trumpet
144,Clarinet
145,DoubleBass
146,Trombone
147,Saxophone
148,Trumpet
149,ElectricGuitar
150,Clarinet
151,Clarinet
152,Saxophone
153,Clarinet
154,Trumpet
155,Oboe
156,Saxophone
157,Violin
158,Saxophone
159,Accordian
160,Trumpet
161,Saxophone
162,Saxophone
163,Saxophone
164,Saxophone
165,Trombone
166,Clarinet
167,Clarinet
168,Clarinet
169,Trombone
170,Clarinet
171,Piano
172,Saxophone
173,Violin
174,Saxophone
175,Piano
176,DoubleBass
177,Clarinet
178,Violin
179,Saxophone
180,ElectricGuitar
181,Clarinet
182,Trumpet
183,Clarinet
184,Saxophone
185,Saxophone
186,Trumpet
187,Clarinet
188,Clarinet
189,Clarinet
190,Trombone
191,Saxophone
192,Saxophone
193,Clarinet
194,Trumpet
195,Saxophone
196,Trumpet
197,Accordian
198,ElectricGuitar
199,Trumpet
200,Accordian
201,Clarinet
202,Clarinet
203,Trumpet
204,ElectricGuitar
205,Clarinet
206,Saxophone
207,ElectricGuitar
208,Clarinet
209,Trumpet
210,DoubleBass
211,DoubleBass
212,Clarinet
213,Trombone
214,Trombone
215,Saxophone
216,Trombone
217,Clarinet
218,Piano
219,ElectricGuitar
220,Trumpet
221,Saxophone
222,Saxophone
223,Clarinet
224,Saxophone
225,Accordian
226,ElectricGuitar
227,Clarinet
228,Saxophone
229,Saxophone
230,Saxophone
231,Trumpet
232,Trumpet
233,Accordian
234,Trumpet
235,ElectricGuitar
236,Saxophone
237,Violin
238,Clarinet
239,ElectricGuitar
240,Oboe
241,Trombone
242,Saxophone
243,Violin
244,Clarinet
245,Saxophone
246,Trombone
247,Saxophone
248,DoubleBass
249,Saxophone
250,Clarinet
251,Trumpet
252,Clarinet
253,Accordian
254,Saxophone
255,Clarinet
256,Trumpet
257,Trumpet
258,Piano
259,Violin
260,DoubleBass
261,ElectricGuitar
262,Clarinet
263,Trumpet
264,Clarinet
265,Violin
266,Trombone
267,Trumpet
268,ElectricGuitar
269,Piano
270,ElectricGuitar
271,DoubleBass
272,Trombone
273,Trombone
274,DoubleBass
275,Violin
276,Saxophone
277,Piano
278,Clarinet
279,Trumpet
280,Saxophone
281,Trumpet
282,Clarinet
283,DoubleBass
284,Clarinet
285,Clarinet
286,Trumpet
287,Clarinet
288,Trumpet
289,Piano
290,Trumpet
291,ElectricGuitar
292,Clarinet
293,Trumpet
294,Saxophone
295,Clarinet
296,Trumpet
297,Saxophone
298,Accordian
299,Clarinet
300,Clarinet
301,Clarinet
302,Trumpet
303,Piano
304,Clarinet
305,Saxophone
306,Clarinet
307,Clarinet
308,Trumpet
309,Oboe
310,Clarinet
311,Clarinet
312,Trumpet
313,Trumpet
314,Trumpet
315,ElectricGuitar
316,Trumpet
317,ElectricGuitar
318,Trumpet
319,ElectricGuitar
320,Saxophone
321,Clarinet
322,ElectricGuitar
323,Trombone
324,Accordian
325,Saxophone
326,Clarinet
327,Trumpet
328,Clarinet
329,Clarinet
330,Clarinet
331,ElectricGuitar
332,Clarinet
333,ElectricGuitar
334,Saxophone
335,Saxophone
336,Trumpet
337,DoubleBass
338,ElectricGuitar
339,Clarinet
340,Saxophone
341,Clarinet
342,Clarinet
343,Clarinet
344,Clarinet
345,Trombone
346,Clarinet
347,Clarinet
348,Clarinet
349,Clarinet
350,Saxophone
351,Clarinet
352,Trumpet
353,Clarinet
354,Clarinet
355,Trombone
356,Clarinet
357,Oboe
358,Clarinet
359,Saxophone
360,DoubleBass
361,Saxophone
362,Trombone
363,Clarinet
364,DoubleBass
365,Clarinet
366,Trumpet
367,Oboe
368,DoubleBass
369,Trumpet
370,Trumpet
371,DoubleBass
372,Clarinet
373,Saxophone
374,Saxophone
375,DoubleBass
376,Oboe
377,ElectricGuitar
378,Saxophone
379,Accordian
380,Trombone
381,Trumpet
382,Trumpet
383,Clarinet
384,Trumpet
385,Trumpet
386,Saxophone
387,Saxophone
388,Trumpet
389,Clarinet
390,Oboe
391,Clarinet
392,Trumpet
393,Piano
394,Saxophone
395,ElectricGuitar
396,Clarinet
397,Trumpet
398,Trombone
399,Saxophone
400,Trumpet
401,ElectricGuitar
402,Saxophone
403,Accordian
404,Trombone
405,Saxophone
406,Clarinet
407,ElectricGuitar
408,ElectricGuitar
409,Trombone
410,Saxophone
411,Trumpet
412,Saxophone
413,ElectricGuitar
414,ElectricGuitar
415,DoubleBass
416,Piano
417,Trombone
418,Trumpet
419,Clarinet
420,DoubleBass
421,Piano
422,Trumpet
423,Accordian
424,Clarinet
425,Clarinet
426,Saxophone
427,Oboe
428,Trumpet
429,Saxophone
430,ElectricGuitar
431,ElectricGuitar
432,ElectricGuitar
433,Violin
434,Clarinet
435,Clarinet
436,ElectricGuitar
437,Trumpet
438,ElectricGuitar
439,Trumpet
440,Accordian
441,ElectricGuitar
