inst#,actual,predicted,error,prediction
1,9:DoubleBass,9:DoubleBass,,0.998
2,9:DoubleBass,9:DoubleBass,,0.999
3,9:DoubleBass,9:DoubleBass,,0.998
4,9:DoubleBass,9:DoubleBass,,0.998
5,9:DoubleBass,9:DoubleBass,,0.998
6,9:DoubleBass,9:DoubleBass,,0.998
7,9:DoubleBass,9:DoubleBass,,0.998
8,9:DoubleBass,9:DoubleBass,,0.998
9,9:DoubleBass,9:DoubleBass,,0.998
10,9:DoubleBass,9:DoubleBass,,0.999
11,9:DoubleBass,9:DoubleBass,,0.998
12,9:DoubleBass,9:DoubleBass,,0.998
13,9:DoubleBass,9:DoubleBass,,0.999
14,9:DoubleBass,9:DoubleBass,,0.998
15,9:DoubleBass,9:DoubleBass,,0.998
16,9:DoubleBass,9:DoubleBass,,0.998
17,9:DoubleBass,9:DoubleBass,,0.998
18,9:DoubleBass,9:DoubleBass,,0.998
19,9:DoubleBass,9:DoubleBass,,0.998
20,9:DoubleBass,9:DoubleBass,,0.998
21,9:DoubleBass,9:DoubleBass,,0.998
22,9:DoubleBass,9:DoubleBass,,0.998
23,9:DoubleBass,9:DoubleBass,,0.998
24,9:DoubleBass,9:DoubleBass,,0.998
25,9:DoubleBass,9:DoubleBass,,0.998
26,9:DoubleBass,9:DoubleBass,,0.998
27,9:DoubleBass,9:DoubleBass,,0.998
28,9:DoubleBass,9:DoubleBass,,0.998
29,9:DoubleBass,9:DoubleBass,,0.998
30,9:DoubleBass,9:DoubleBass,,0.998
31,9:DoubleBass,9:DoubleBass,,0.998
32,9:DoubleBass,9:DoubleBass,,0.998
33,9:DoubleBass,9:DoubleBass,,0.998
34,9:DoubleBass,9:DoubleBass,,0.998
35,9:DoubleBass,9:DoubleBass,,0.999
36,9:DoubleBass,9:DoubleBass,,0.998
37,9:DoubleBass,9:DoubleBass,,0.999
38,9:DoubleBass,9:DoubleBass,,0.999
39,9:DoubleBass,9:DoubleBass,,0.998
40,9:DoubleBass,9:DoubleBass,,0.998
41,9:DoubleBass,9:DoubleBass,,0.998
42,9:DoubleBass,9:DoubleBass,,0.998
43,9:DoubleBass,9:DoubleBass,,0.998
44,9:DoubleBass,9:DoubleBass,,0.998
45,9:DoubleBass,9:DoubleBass,,0.998
46,9:DoubleBass,9:DoubleBass,,0.998
47,9:DoubleBass,9:DoubleBass,,0.998
48,9:DoubleBass,9:DoubleBass,,0.998
49,9:DoubleBass,9:DoubleBass,,0.998
50,9:DoubleBass,9:DoubleBass,,0.998
51,9:DoubleBass,9:DoubleBass,,0.998
52,9:DoubleBass,9:DoubleBass,,0.998
53,9:DoubleBass,9:DoubleBass,,0.999
54,9:DoubleBass,9:DoubleBass,,0.998
55,9:DoubleBass,9:DoubleBass,,0.998
56,9:DoubleBass,9:DoubleBass,,0.998
57,9:DoubleBass,9:DoubleBass,,0.998
58,9:DoubleBass,9:DoubleBass,,0.998
59,9:DoubleBass,9:DoubleBass,,0.998
60,9:DoubleBass,9:DoubleBass,,0.998
