Id,Instrument
1,Piano
2,ElectricGuitar
3,Tuba
4,Tuba
5,Piano
6,Tuba
7,Trumpet
8,Violin
9,Tuba
10,Tuba
11,Tuba
12,Trumpet
13,Tuba
14,Saxophone
15,Tuba
16,Trumpet
17,Piano
18,Tuba
19,Viola
20,Clarinet
21,Clarinet
22,Oboe
23,Piano
24,Piano
25,Piano
26,Oboe
27,Tuba
28,Trumpet
29,Trumpet
30,Saxophone
31,Saxophone
32,Clarinet
33,Trumpet
34,Saxophone
35,Tuba
36,Viola
37,Oboe
38,Saxophone
39,Accordian
40,Trumpet
41,Oboe
42,Saxophone
43,Viola
44,Tuba
45,Saxophone
46,Piano
47,Trumpet
48,Oboe
49,Trumpet
50,Piano
51,Tuba
52,Tuba
53,ElectricGuitar
54,Trumpet
55,Clarinet
56,Tuba
57,ElectricGuitar
58,Tuba
59,Tuba
60,ElectricGuitar
61,Tuba
62,Trumpet
63,ElectricGuitar
64,ElectricGuitar
65,ElectricGuitar
66,Tuba
67,Oboe
68,Tuba
69,Clarinet
70,Cello
71,Piano
72,ElectricGuitar
73,Saxophone
74,Cello
75,Trumpet
76,Trumpet
77,Tuba
78,ElectricGuitar
79,Oboe
80,Oboe
81,Saxophone
82,Clarinet
83,Tuba
84,ElectricGuitar
85,Saxophone
86,Tuba
87,Clarinet
88,ElectricGuitar
89,Viola
90,Oboe
91,Accordian
92,Saxophone
93,Trumpet
94,Oboe
95,Clarinet
96,Tuba
97,ElectricGuitar
98,Tuba
99,Tuba
100,Piano
101,ElectricGuitar
102,Tuba
103,Saxophone
104,Tuba
105,Trumpet
106,ElectricGuitar
107,Saxophone
108,Oboe
109,Oboe
110,Tuba
111,Tuba
112,Saxophone
113,Violin
114,Saxophone
115,Oboe
116,Tuba
117,Saxophone
118,Cello
119,Cello
120,Tuba
121,Saxophone
122,Trumpet
123,Clarinet
124,Saxophone
125,Clarinet
126,Oboe
127,Tuba
128,Violin
129,Tuba
130,Viola
131,Oboe
132,ElectricGuitar
133,ElectricGuitar
134,Tuba
135,ElectricGuitar
136,Clarinet
137,Oboe
138,Clarinet
139,Cello
140,Accordian
141,Saxophone
142,Accordian
143,Clarinet
144,ElectricGuitar
145,Oboe
146,Tuba
147,Tuba
148,Tuba
149,Tuba
150,Clarinet
151,Oboe
152,Tuba
153,Viola
154,Clarinet
155,Accordian
156,Trumpet
157,ElectricGuitar
158,ElectricGuitar
159,Piano
160,Tuba
161,Violin
162,ElectricGuitar
163,ElectricGuitar
164,Trumpet
165,Tuba
166,Saxophone
167,Oboe
168,Tuba
169,Accordian
170,Cello
171,Piano
172,Saxophone
173,Cello
174,Tuba
175,ElectricGuitar
176,Saxophone
177,Saxophone
178,Cello
179,Trumpet
180,Saxophone
181,Oboe
182,Oboe
183,Trumpet
184,Tuba
185,Cello
186,Tuba
187,Cello
188,Cello
189,Saxophone
190,Trumpet
191,Cello
192,Tuba
193,Oboe
194,Violin
195,Tuba
196,Trumpet
197,ElectricGuitar
198,Oboe
199,ElectricGuitar
200,ElectricGuitar
201,Piano
202,Saxophone
203,Saxophone
204,Oboe
205,Tuba
206,Clarinet
207,Clarinet
208,Saxophone
209,Piano
210,Tuba
211,Tuba
212,Oboe
213,Tuba
214,Trumpet
215,Oboe
216,Tuba
217,ElectricGuitar
218,Violin
219,Tuba
220,Trumpet
221,Trumpet
222,Trumpet
223,Saxophone
224,Trumpet
225,Accordian
226,ElectricGuitar
227,Tuba
228,Tuba
229,Tuba
230,Cello
231,Oboe
232,Clarinet
233,Piano
234,Oboe
235,Piano
236,Oboe
237,ElectricGuitar
238,Tuba
239,Saxophone
240,Violin
241,Cello
242,Viola
243,Tuba
244,Cello
245,Violin
246,Cello
247,Tuba
248,Oboe
249,Tuba
250,Tuba
251,Saxophone
252,Cello
253,Trumpet
254,Tuba
255,Cello
256,ElectricGuitar
257,ElectricGuitar
258,Piano
259,ElectricGuitar
260,Piano
261,Saxophone
262,Saxophone
263,Piano
264,Tuba
265,Accordian
266,Trumpet
267,Trumpet
268,Oboe
269,Accordian
270,Tuba
271,Oboe
272,Saxophone
273,Oboe
274,Tuba
275,ElectricGuitar
276,Oboe
277,Trumpet
278,Tuba
279,Saxophone
280,ElectricGuitar
281,Clarinet
282,Tuba
283,ElectricGuitar
284,Cello
285,Oboe
286,Cello
287,Saxophone
288,Saxophone
289,Piano
290,Trumpet
291,Piano
292,Tuba
293,Piano
294,Oboe
295,Tuba
296,Oboe
297,Tuba
298,Tuba
299,Piano
300,Saxophone
301,Oboe
302,Trumpet
303,Piano
304,Piano
305,Viola
306,Cello
307,Viola
308,Tuba
309,Oboe
310,Saxophone
311,Cello
312,Cello
313,Saxophone
314,Clarinet
315,Tuba
316,Clarinet
317,ElectricGuitar
318,Saxophone
319,Piano
320,ElectricGuitar
321,Tuba
322,Trumpet
323,Oboe
324,Trumpet
325,Viola
326,ElectricGuitar
327,ElectricGuitar
328,Cello
329,ElectricGuitar
330,Violin
331,Piano
332,Trumpet
333,Piano
334,Tuba
335,Tuba
336,Cello
337,Viola
338,Tuba
339,Tuba
340,Trumpet
341,Tuba
342,Saxophone
343,Viola
344,Saxophone
345,Cello
346,Tuba
347,Saxophone
348,ElectricGuitar
349,ElectricGuitar
350,Saxophone
351,Clarinet
352,Tuba
353,Tuba
354,ElectricGuitar
355,Tuba
356,Cello
357,Tuba
358,Tuba
359,Oboe
360,Oboe
361,Trumpet
362,Oboe
363,Clarinet
364,Violin
365,Saxophone
366,Tuba
367,ElectricGuitar
368,Tuba
369,Piano
370,Tuba
371,Saxophone
372,Tuba
373,Tuba
374,Tuba
375,Oboe
376,ElectricGuitar
377,Tuba
378,ElectricGuitar
379,Tuba
380,Accordian
381,Piano
382,Piano
383,Oboe
384,Piano
385,Tuba
386,Saxophone
387,Saxophone
388,Tuba
389,Oboe
390,Violin
391,Saxophone
392,Saxophone
393,Tuba
394,Tuba
395,Piano
396,ElectricGuitar
397,Tuba
398,Tuba
399,Tuba
400,Oboe
401,Tuba
402,ElectricGuitar
403,Violin
404,Oboe
405,Saxophone
406,Cello
407,Tuba
408,Saxophone
409,Cello
410,Cello
411,ElectricGuitar
412,Trumpet
413,Piano
414,Piano
415,ElectricGuitar
416,Cello
417,Cello
418,Trumpet
419,ElectricGuitar
420,Oboe
421,Violin
422,ElectricGuitar
423,Cello
424,DoubleBass
425,Oboe
426,Tuba
427,Viola
428,Clarinet
429,ElectricGuitar
430,Tuba
431,Tuba
432,Piano
433,Violin
434,ElectricGuitar
435,ElectricGuitar
436,Saxophone
437,Saxophone
438,Tuba
439,Piano
440,Piano
441,Tuba
442,Saxophone
443,Tuba
444,Oboe
445,Tuba
446,Saxophone
447,Piano
448,Piano
449,Cello
450,Tuba
451,Saxophone
452,ElectricGuitar
453,ElectricGuitar
454,Piano
455,Clarinet
456,Saxophone
