temporalCentroid,LogSpecCentroid,LogSpecSpread,MFCC1,MFCC2,Energy,ZeroCrossings,SpecCentroid,SpecSpread,Rolloff,bandsCoefSum,prjmin,prjmax,prjsum,prjdis,prjstd,LogAttackTime,HamoPk1,HamoPk2,HamoPk3,HamoPk4,HamoPk5,HamoPk6,HamoPk7,HamoPk8,HamoPk9,HamoPk10,HamoPk11,HamoPk12,HamoPk13,HamoPk14,HamoPk15,HamoPk16,HamoPk17,HamoPk19,playmethod,class1,class2,label
1.445637,-0.09189494,1.004845,-0.094427072,1.003248081,-0.00198589,275,600.1274,453.46,1173.56,326.656,-0.9963395,0.08035132,-0.02743884,36.76271,0.1719015,0.3134224,1.021706,1.031148,1.031026,0.9699944,0.9184926,0.8938348,0.9432016,0.9722124,0.9611829,0.9647897,0.945486,0.9353136,0.9385999,0.887822,0.8503076,0.8180364,0.7881325,0.7093472,blown,aerophone,aero_single-reed,TenorSaxophone
1.67324,-0.9975726,0.7539871,-0.995302526,0.756111442,0.000155912,126,293.8998,214.72,263.7817,382.0025,-0.9994915,0.01963572,-0.03038464,34.54724,0.1714054,0.3658826,1.031167,0.8936012,0.9317822,0.9210123,0.8578688,0.9014191,0.9023061,0.8352954,0.7806143,0.7662296,0.7516617,0.703089,0.6607209,0.6992731,0.6999765,0.6753947,0.6910254,0.6916253,blown,aerophone,aero_single-reed,TenorSaxophone
1.22923,0.1038104,0.9815913,0.099797975,0.984179027,0.002638121,196,672.7206,468.134,1302.759,309.7521,-0.998929,0.02575572,-0.02871134,35.94282,0.1716936,-0.2018804,0.9734613,1.043572,1.038186,0.9782576,0.9289662,0.9065211,0.9575543,0.9807145,0.9727297,0.9765131,0.9593083,0.9466551,0.9508368,0.9034526,0.8654334,0.8287836,0.8033414,0.7485679,blown,aerophone,aero_single-reed,TenorSaxophone
1.132893,-1.383237,0.6859932,-1.385410998,0.685504358,-0.004115753,125,216.6212,116.7749,390.2893,415.3852,-0.9986471,0.04568187,-0.02948053,35.0335,0.1715632,-0.7124725,0.9620737,0.9503613,0.8420466,0.8128327,0.7492055,0.6662217,0.5559431,?,?,?,?,?,?,?,?,?,?,?,string,chordophone,chrd_composite,ElectricGuitar
1.520376,-0.8968503,1.098561,-0.898748761,1.094052769,0.000832715,159,362.1826,318.9582,651.3794,358.5952,-0.9986963,0.03250792,-0.03037338,36.17678,0.1714074,-0.3124043,1.058442,1.037496,1.057345,0.9485863,0.9008184,0.8998238,0.9684589,0.8286533,0.8680228,0.8051014,0.7828317,0.8273394,0.8068404,0.7098193,0.6750974,?,0.6192343,0.6719958,blown,aerophone,aero_lip-vibrated,DTrumpet
1.073628,-1.508863,0.6343002,-1.504566922,0.638921206,-0.001074103,125,196.0527,104.6181,384.906,443.6512,-0.9973369,0.06881154,-0.02968445,35.71874,0.171528,-0.476059,0.9490836,0.9348963,0.8137224,0.7804292,0.7029517,0.6160793,?,?,?,?,?,?,?,?,?,?,?,?,string,chordophone,chrd_composite,ElectricGuitar
1.445637,-0.110056,0.8833876,-0.114681439,0.879306331,-0.00918706,203,569.9575,418.7438,1049.744,342.844,-0.9955612,0.07723933,-0.02966779,38.4303,0.1715309,0.3134224,1.078495,1.065121,1.037491,0.9727365,0.8740158,0.8274228,0.8483768,0.7962048,0.7878976,0.7944231,0.7812513,0.7640297,0.7458767,0.6999757,0.6607167,0.636303,0.577252,?,blown,aerophone,aero_single-reed,TenorSaxophone
1.002778,-0.2822642,0.7369384,-0.285862276,0.735278829,-0.000544134,239,466.916,273.3554,522.1802,358.0585,-0.9995026,0.01134026,-0.0318233,34.44106,0.1711441,0.0932072,1.035702,1.036078,1.062032,0.979153,0.9238902,0.8570118,0.8715866,0.7838743,0.7381172,0.6874956,0.9188182,0.597499,?,?,0.8408373,?,?,0.6797155,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.041239,-0.5965892,0.7090458,-0.593488571,0.70507555,0.005124083,288,370.2467,179.8501,519.4885,398.0981,-0.9996008,0.003550655,-0.03201828,34.01491,0.1711077,0.2186105,1.041899,1.0327,1.002935,0.9757829,0.9393094,0.8551346,0.9146132,0.7889683,0.7899656,0.7070499,0.7009614,0.616699,0.648238,?,0.6763864,?,0.6322054,0.6596952,blown,aerophone,aero_lip-vibrated,TenorTrombone
0.9820233,-1.217999,1.09282,-1.221931651,1.08912828,-0.006732726,217,307.5424,324.9972,659.4543,324.763,-0.9973655,0.05240174,-0.02615831,37.24116,0.1721011,-0.07155538,0.911879,0.9387537,0.8453364,0.8755749,0.9245396,0.8623021,0.8552262,0.8894809,0.6783472,0.7313124,0.8380022,0.7440745,0.7909342,0.7587932,0.7518794,0.6107973,0.6653033,0.6680378,string,chordophone,chrd_composite,Violin
