@relation train_PT5_ElectricGuitar_Marimba_Peak_Conversion

@attribute temporalCentroid numeric
@attribute LogSpecCentroid numeric
@attribute LogSpecSpread numeric
@attribute MFCC1 numeric
@attribute MFCC2 numeric
@attribute Energy numeric
@attribute ZeroCrossings numeric
@attribute SpecCentroid numeric
@attribute SpecSpread numeric
@attribute Rolloff numeric
@attribute bandsCoefSum numeric
@attribute prjmin numeric
@attribute prjmax numeric
@attribute prjsum numeric
@attribute prjdis numeric
@attribute prjstd numeric
@attribute LogAttackTime numeric
@attribute HamoPk1 numeric
@attribute HamoPk2 numeric
@attribute HamoPk3 numeric
@attribute HamoPk4 numeric
@attribute HamoPk5 numeric
@attribute HamoPk6 numeric
@attribute HamoPk7 numeric
@attribute HamoPk8 numeric
@attribute HamoPk9 numeric
@attribute HamoPk10 numeric
@attribute HamoPk11 numeric
@attribute HamoPk12 numeric
@attribute HamoPk13 numeric
@attribute HamoPk14 numeric
@attribute HamoPk15 numeric
@attribute HamoPk16 numeric
@attribute HamoPk17 numeric
@attribute HamoPk19 numeric
@attribute playmethod {blown,string,struck_Hrm}
@attribute class1 {aerophone,chordophone}
@attribute class2 {aero_side,aero_single-reed,chrd_composite,aero_lip-vibrated,chrd_simple,aero_double-reed,aero_free-reed}
@attribute label {TenorSaxophone,Cello,DTrumpet,TenorTrombone,Violin,CTrumpet,B-flatclarinet,Viola,Piano,DoubleBass,Oboe,Accordian,B-FlatTrumpet,SopranoSaxophone,AltoSaxophone,Vibraphone,BaritoneSaxophone,SynthBass,BassSaxophone,Tuba,AcousticBass}

@data
1.445637,-0.091895,1.004845,-0.094427,1.003248,-0.001986,275,600.1274,453.46,1173.56,326.656,-0.99634,0.080351,-0.027439,36.76271,0.171902,0.313422,1.021706,1.031148,1.031026,0.969994,0.918493,0.893835,0.943202,0.972212,0.961183,0.96479,0.945486,0.935314,0.9386,0.887822,0.850308,0.818036,0.788133,0.709347,blown,aerophone,aero_single-reed,TenorSaxophone
1.67324,-0.997573,0.753987,-0.995303,0.756111,0.000156,126,293.8998,214.72,263.7817,382.0025,-0.999491,0.019636,-0.030385,34.54724,0.171405,0.365883,1.031167,0.893601,0.931782,0.921012,0.857869,0.901419,0.902306,0.835295,0.780614,0.76623,0.751662,0.703089,0.660721,0.699273,0.699977,0.675395,0.691025,0.691625,blown,aerophone,aero_single-reed,TenorSaxophone
1.22923,0.10381,0.981591,0.099798,0.984179,0.002638,196,672.7206,468.134,1302.759,309.7521,-0.998929,0.025756,-0.028711,35.94282,0.171694,-0.20188,0.973461,1.043572,1.038186,0.978258,0.928966,0.906521,0.957554,0.980715,0.97273,0.976513,0.959308,0.946655,0.950837,0.903453,0.865433,0.828784,0.803341,0.748568,blown,aerophone,aero_single-reed,TenorSaxophone
1.132893,-1.383237,0.685993,-1.385411,0.685504,-0.004116,125,216.6212,116.7749,390.2893,415.3852,-0.998647,0.045682,-0.029481,35.0335,0.171563,-0.712472,0.962074,0.950361,0.842047,0.812833,0.749205,0.666222,0.555943,?,?,?,?,?,?,?,?,?,?,?,string,chordophone,chrd_composite,Cello
1.520376,-0.89685,1.098561,-0.898749,1.094053,0.000833,159,362.1826,318.9582,651.3794,358.5952,-0.998696,0.032508,-0.030373,36.17678,0.171407,-0.312404,1.058442,1.037496,1.057345,0.948586,0.900818,0.899824,0.968459,0.828653,0.868023,0.805101,0.782832,0.827339,0.80684,0.709819,0.675097,?,0.619234,0.671996,blown,aerophone,aero_lip-vibrated,DTrumpet
1.073628,-1.508863,0.6343,-1.504567,0.638921,-0.001074,125,196.0527,104.6181,384.906,443.6512,-0.997337,0.068812,-0.029684,35.71874,0.171528,-0.476059,0.949084,0.934896,0.813722,0.780429,0.702952,0.616079,?,?,?,?,?,?,?,?,?,?,?,?,string,chordophone,chrd_composite,Cello
1.445637,-0.110056,0.883388,-0.114681,0.879306,-0.009187,203,569.9575,418.7438,1049.744,342.844,-0.995561,0.077239,-0.029668,38.4303,0.171531,0.313422,1.078495,1.065121,1.037491,0.972737,0.874016,0.827423,0.848377,0.796205,0.787898,0.794423,0.781251,0.76403,0.745877,0.699976,0.660717,0.636303,0.577252,?,blown,aerophone,aero_single-reed,TenorSaxophone
1.002778,-0.282264,0.736938,-0.285862,0.735279,-0.000544,239,466.916,273.3554,522.1802,358.0585,-0.999503,0.01134,-0.031823,34.44106,0.171144,0.093207,1.035702,1.036078,1.062032,0.979153,0.92389,0.857012,0.871587,0.783874,0.738117,0.687496,0.918818,0.597499,?,?,0.840837,?,?,0.679716,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.041239,-0.596589,0.709046,-0.593489,0.705076,0.005124,288,370.2467,179.8501,519.4885,398.0981,-0.999601,0.003551,-0.032018,34.01491,0.171108,0.218611,1.041899,1.0327,1.002935,0.975783,0.939309,0.855135,0.914613,0.788968,0.789966,0.70705,0.700961,0.616699,0.648238,?,0.676386,?,0.632205,0.659695,blown,aerophone,aero_lip-vibrated,TenorTrombone
0.982023,-1.217999,1.09282,-1.221932,1.089128,-0.006733,217,307.5424,324.9972,659.4543,324.763,-0.997366,0.052402,-0.026158,37.24116,0.172101,-0.071555,0.911879,0.938754,0.845336,0.875575,0.92454,0.862302,0.855226,0.889481,0.678347,0.731312,0.838002,0.744074,0.790934,0.758793,0.751879,0.610797,0.665303,0.668038,string,chordophone,chrd_composite,Violin
1.448017,0.064096,0.925964,0.062981,0.929491,-0.007251,230,648.3226,464.0328,1302.759,308.2169,-0.996558,0.073767,-0.027384,37.22292,0.17191,0.321853,1.040823,1.068884,1.058678,0.999051,0.930876,0.91803,0.972777,1.002305,0.995812,0.998206,0.979982,0.965328,0.973466,0.923781,0.889738,0.851257,0.824432,0.766688,blown,aerophone,aero_single-reed,TenorSaxophone
1.52806,-0.932528,1.190378,-0.929742,1.195165,-0.007593,124,361.0356,300.9706,777.887,384.369,-0.999407,0.02668,-0.028828,34.71466,0.171674,-0.231911,1.066629,1.033569,1.009962,0.937168,0.981229,0.891549,0.961495,0.801598,0.870894,0.799055,0.852756,0.804179,0.648075,0.673058,0.656547,?,?,?,blown,aerophone,aero_lip-vibrated,CTrumpet
1.917447,-0.881657,1.213385,-0.883134,1.216225,-0.000574,189,387.2507,331.8074,909.7778,387.945,-0.99869,0.028743,-0.030429,35.19807,0.171398,-0.022712,0.706298,0.956783,0.768271,0.943089,0.848844,0.949904,0.743279,0.839457,0.788583,0.749915,0.813921,0.720065,0.766583,0.635166,0.709685,0.659693,0.609081,0.617839,blown,aerophone,aero_single-reed,B-flatclarinet
1.471448,-0.144081,1.145664,-0.142079,1.150056,-0.002242,251,617.3622,505.1145,1302.759,361.5249,-0.997718,0.043441,-0.028037,37.27615,0.171805,0.326642,0.991583,1.020407,0.977235,0.972657,0.802269,0.890827,0.850463,0.944651,0.948192,0.953679,0.922559,0.91609,0.923469,0.878752,0.840095,0.780231,0.782072,0.588508,blown,aerophone,aero_single-reed,TenorSaxophone
1.067843,-1.341474,0.758073,-1.341418,0.758441,-0.002264,127,230.0561,147.8445,390.2893,327.0321,-0.996454,0.017735,-0.031735,36.60662,0.17116,-0.414578,0.959916,0.954333,0.864537,0.856622,0.804898,0.76301,0.654164,0.540085,?,?,?,?,?,?,?,?,?,?,string,chordophone,chrd_composite,Viola
1.390276,-0.871131,1.399465,-0.869918,1.397704,0.001612,109,386.9952,298.4545,767.1204,402.2791,-0.992867,0.027467,-0.035056,38.81991,0.170511,-0.231911,1.128262,1.019759,1.166434,1.135627,0.958981,?,0.8863,?,?,0.847097,0.967834,0.850916,?,1.033362,1.037774,0.985607,0.894092,0.85537,blown,aerophone,aero_lip-vibrated,CTrumpet
1.799928,-1.464474,0.654698,-1.460405,0.655979,0.007359,126,203.2069,108.8678,387.5977,439.4172,-0.999158,0.018067,-0.031542,34.76771,0.171196,-0.342086,0.954119,0.940975,0.825289,0.793066,0.722051,0.634247,?,?,?,?,?,?,?,?,?,?,?,?,string,chordophone,chrd_composite,Cello
1.299325,-0.228064,0.931377,-0.232701,0.92778,0.002215,327,517.3092,317.0306,1038.977,368.7317,-0.99818,0.056459,-0.028682,35.56655,0.171699,0.098797,1.024632,1.034121,0.961099,0.976958,1.004082,0.856248,1.003681,0.790726,0.910809,0.690892,0.823072,0.617932,0.729219,?,0.75936,?,0.70204,0.729776,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.693705,-0.811437,0.709938,-0.813344,0.706048,0.007989,126,327.8489,222.1615,519.4885,385.2126,-0.99937,0.027419,-0.029683,34.60286,0.171528,0.327032,1.066833,0.920235,0.969641,0.957398,0.888522,0.932261,0.932476,0.86183,0.823665,0.77494,0.734865,0.668421,0.677888,0.677586,0.698142,0.693438,0.704605,0.697925,blown,aerophone,aero_single-reed,TenorSaxophone
1.388541,-0.238967,1.347125,-0.243583,1.350926,-0.008831,270,586.6338,411.2985,1044.36,359.3964,-0.999229,0.027466,-0.028583,35.18751,0.171715,-0.32253,1.051836,0.889941,1.088305,1.080324,1.086013,0.972229,0.889613,0.953038,0.915892,0.926508,0.966643,0.889188,0.927999,0.754472,0.868492,0.691677,0.812738,0.830667,blown,aerophone,aero_lip-vibrated,CTrumpet
0.816817,-2.152447,1.549153,-2.155708,1.546761,-0.000899,83,153.2425,149.2212,258.3984,490.6424,-0.99896,0.022345,-0.030103,36.17565,0.171455,-0.669145,0.897179,1.050739,?,?,1.194026,?,?,?,?,?,1.055353,?,?,?,?,?,?,?,struck_Hrm,chordophone,chrd_simple,Piano
1.396315,0.128185,1.097363,0.127133,1.094718,0.001801,282,715.4559,518.9085,1431.958,350.7944,-0.997395,0.047002,-0.028374,37.27334,0.17175,-0.095031,0.936841,1.037189,1.013916,0.938294,0.903724,0.947736,0.955805,0.955771,0.971216,0.971633,0.9486,0.940981,0.947609,0.902761,0.864467,0.823292,0.790572,0.763342,blown,aerophone,aero_single-reed,TenorSaxophone
1.906808,-1.37121,0.998003,-1.366303,1.00134,-0.007195,109,258.4312,243.0387,392.981,430.9415,-0.997466,0.011916,-0.032709,36.94197,0.170977,-0.022712,0.743923,0.925944,0.766513,0.886345,0.800909,0.874013,0.660576,0.718006,0.659625,0.581011,0.678298,0.636238,0.674082,?,?,?,?,?,blown,aerophone,aero_single-reed,B-flatclarinet
