temporalCentroid,LogSpecCentroid,LogSpecSpread,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Energy,ZeroCrossings,SpecCentroid,SpecSpread,Rolloff,Flux,bandsCoef1,bandsCoef2,bandsCoef3,bandsCoef4,bandsCoef5,bandsCoef6,bandsCoef7,bandsCoef8,bandsCoef9,bandsCoef10,bandsCoef11,bandsCoef12,bandsCoef13,bandsCoef14,bandsCoef15,bandsCoef16,bandsCoef17,bandsCoef18,bandsCoef19,bandsCoef20,bandsCoef21,bandsCoef22,bandsCoef23,bandsCoef24,bandsCoef25,bandsCoef26,bandsCoef27,bandsCoef28,bandsCoef29,bandsCoef30,bandsCoef31,bandsCoef32,bandsCoef33,bandsCoefSum,prj1,prj2,prj3,prj4,prj5,prj6,prj7,prj8,prj9,prj10,prj11,prj12,prj13,prj14,prj15,prj16,prj17,prj18,prj19,prj20,prj21,prj22,prj23,prj24,prj25,prj26,prj27,prj28,prj29,prj30,prj31,prj32,prj33,prjmin,prjmax,prjsum,prjdis,prjstd,LogAttackTime,HamoPk1,HamoPk2,HamoPk3,HamoPk4,HamoPk5,HamoPk6,HamoPk7,HamoPk8,HamoPk9,HamoPk10,HamoPk11,HamoPk12,HamoPk13,HamoPk14,HamoPk15,HamoPk16,HamoPk17,HamoPk18,HamoPk19,HamoPk20,HamoPk21,HamoPk22,HamoPk23,HamoPk24,HamoPk25,HamoPk26,HamoPk27,HamoPk28,mix1_instrument,mix2_instrument
1.132893,-1.383237,0.6859932,-1.385410998,0.685504358,-0.004805552,0.003060422,0.004024757,0.00303489,0.004259942,-0.003684901,0.003076738,-0.000293188,-0.00422919,-0.004750924,-0.002718451,-0.004115753,125,216.6212,116.7749,390.2893,3.55E-09,-0.1752331,-0.1,-0.1893465,-0.185265,-0.1838017,-0.1767346,-0.1695303,-0.1415377,-0.06455547,-0.1621902,-0.1717401,-0.167064,-0.07496064,-0.1713176,-0.07662177,-0.1698782,-0.1060731,-0.1113282,-0.1252246,-0.1407526,-0.1565575,-0.1854905,-0.196133,-0.1960257,-0.2050264,-0.2066779,-0.2084525,-0.2099556,-0.2109501,-0.2119863,-0.2123735,-0.2129177,-0.2061022,415.3852,-0.9986471,0.04568187,-0.0199306,0.01185761,-0.005836224,-0.00210996,0.000716782,-0.002732325,-0.003742526,-0.000885583,0.000597791,0.000579326,0.003082215,-0.001035582,0.001768731,-0.000772747,-0.001205749,0.000427371,-0.000534463,-3.63E-05,0.000555889,0.000279348,0.000278057,0.000113715,-0.00036474,0.000369135,-0.000449883,-0.000163594,-0.00034282,-2.32E-05,-0.000174436,8E-05,-0.000257628,-0.9986471,0.04568187,-0.02948053,35.0335,0.1715632,-0.7124725,0.9620737,0.9503613,0.8420466,0.8128327,0.7492055,0.6662217,0.5559431,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ElectricGuitar,Marimba
1.073628,-1.508863,0.6343002,-1.504566922,0.638921206,-0.004932828,-0.000102112,0.00021303,0.002823974,-0.003542328,-0.002219943,-0.002655272,-0.00316921,-0.004469219,-0.00474313,-0.001224063,-0.001074103,125,196.0527,104.6181,384.906,8.6E-10,-0.1719818,-0.1,-0.1868195,-0.1823704,-0.1812132,-0.1728571,-0.1659558,-0.1379116,-0.06670579,-0.1574726,-0.1651787,-0.1631386,-0.0797368,-0.1669234,-0.08199668,-0.1739492,-0.1122773,-0.1183153,-0.1344702,-0.1508646,-0.1660256,-0.1934198,-0.2015277,-0.2023527,-0.2061478,-0.2065237,-0.2076509,-0.209372,-0.2094783,-0.2094684,-0.2095832,-0.2087403,-0.2028887,443.6512,-0.9973369,0.06881154,-0.01858618,-0.000524897,-0.004220398,-0.01095571,-0.003958564,-0.005905362,-0.005264669,-0.001902743,0.002609216,-0.001500281,5E-05,-0.002459323,-0.001044256,9.81E-05,0.000460596,0.000388213,0.000301261,-0.000314894,-0.000462713,0.000706156,0.000141135,-0.000456142,0.000671957,0.000322405,0.000449188,-0.000110361,-0.000151407,-4.27E-05,0.000222738,0.000114906,0.00026321,-0.9973369,0.06881154,-0.02968445,35.71874,0.171528,-0.476059,0.9490836,0.9348963,0.8137224,0.7804292,0.7029517,0.6160793,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ElectricGuitar,Marimba
1.067843,-1.341474,0.7580726,-1.341418485,0.758441451,-0.000107514,0.003553052,0.001779335,0.00407557,-0.001616563,-0.003851925,-0.0043565,-0.002450998,0.003786662,-0.000883617,-0.001170615,-0.002263857,127,230.0561,147.8445,390.2893,8.43E-06,-0.142744,-0.1,-0.2093104,-0.2069684,-0.2062468,-0.1949778,-0.1790931,-0.1388077,-0.04417361,-0.1643138,-0.1762007,-0.1736526,-0.05937803,-0.1720323,-0.0590794,-0.1826971,-0.09224508,-0.09037717,-0.1043487,-0.1077005,-0.1274677,-0.1584636,-0.1696857,-0.1481119,-0.1705721,-0.1938551,-0.174509,-0.2328262,-0.2340618,-0.2305963,-0.2390833,-0.2437064,-0.235283,327.0321,-0.9964542,-0.07929953,0.01121169,0.004602061,0.01773479,-0.00504763,-0.01340343,0.002471123,-0.00267362,0.001217723,-0.003971948,0.006128066,-0.003222611,-0.001320508,0.003238706,-0.000138565,0.002097856,0.002444874,0.001027797,0.002560493,0.001818658,-0.001445082,0.002940788,-0.000714696,-0.000176122,9.71E-05,-0.000338245,0.000120662,0.000356157,0.000656237,0.000378553,-4.9E-05,-0.000117101,-0.9964542,0.01773479,-0.03173542,36.60662,0.1711604,-0.4145776,0.9599161,0.9543334,0.8645371,0.8566223,0.8048975,0.7630102,0.6541642,0.5400848,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ElectricGuitar,Marimba
1.799928,-1.464474,0.6546981,-1.460405236,0.655979447,-0.004588445,-0.000807369,-0.001025222,-0.003219622,-0.003974634,-0.00122843,-0.003418479,-0.002273188,-3.83E-05,0.004176072,0.002412774,0.00735853,126,203.2069,108.8678,387.5977,1.72E-09,-0.1688336,-0.1,-0.1848481,-0.1799655,-0.1801556,-0.1716924,-0.1649795,-0.1370303,-0.06510701,-0.1566215,-0.1640716,-0.1610004,-0.07699813,-0.1657358,-0.07904807,-0.1738344,-0.1085014,-0.114407,-0.1294864,-0.1458305,-0.1604341,-0.1904928,-0.2015568,-0.2033133,-0.2096966,-0.2108988,-0.2117526,-0.2128604,-0.2131131,-0.2130798,-0.2149431,-0.2126526,-0.2061372,439.4172,-0.9991583,0.0180671,-0.0315367,-0.01442709,-0.004916673,-0.004818415,-0.006560698,-0.001653626,0.006753023,-0.000280287,-0.000779491,0.000706367,0.001420152,-0.001359259,-0.000382843,0.000284759,-0.001208424,0.001586425,0.001035278,-0.001564375,0.000528186,0.000231541,-7.34E-05,-0.000703889,-9.23E-05,0.000180013,-0.000164884,-9.86E-05,-0.000711788,-0.000642584,-0.000442475,1E-05,-0.000125304,-0.9991583,0.0180671,-0.03154238,34.76771,0.1711961,-0.342086,0.9541186,0.9409754,0.8252886,0.793066,0.7220511,0.6342468,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ElectricGuitar,Marimba
1.073628,-1.551596,0.6122983,-1.551729454,0.611348762,0.004267353,-0.001033698,-0.002566756,-0.000901007,0.004008703,-0.000261345,0.00289009,0.004590762,0.002166093,-0.000970068,-9.94E-05,-0.00237052,107,189.2769,100.3769,261.0901,5.01E-10,-0.1723827,-0.1,-0.1958855,-0.187006,-0.1862514,-0.1755102,-0.1673753,-0.137453,-0.06760616,-0.1544763,-0.1624557,-0.1615259,-0.08164649,-0.1635796,-0.08405253,-0.1808437,-0.1142678,-0.1209023,-0.1375916,-0.1548262,-0.1680952,-0.1949085,-0.199507,-0.2004948,-0.2026229,-0.2035925,-0.2049145,-0.2051047,-0.2056723,-0.2059345,-0.2051766,-0.2046974,-0.1997037,453.7329,-0.9967279,0.07253782,-0.0253365,0.01025761,0.002061268,-0.009554162,-0.001846207,-0.01443647,-0.003710753,-0.001101669,0.00828251,-0.003561772,-0.006768765,-0.005407127,-0.004969824,-0.002926015,5.23E-05,0.000802802,-0.002847644,0.000755553,-0.000596922,2.29E-05,0.000405946,-0.000840013,-0.000498949,-0.001016655,-0.000516179,-0.000264871,0.000361018,0.000265611,0.000316654,0.000396034,-0.000218792,-0.9967279,0.07253782,-0.02989786,36.90198,0.171491,-0.476059,0.9436196,0.9282409,0.8032147,0.7661227,0.6828538,0.5847309,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ElectricGuitar,Marimba
1.132893,-1.321093,0.705068,-1.324755586,0.704433456,-0.000398298,-0.003984506,0.000628381,0.00334456,-0.003827244,-0.001916788,-0.004285539,0.003686886,-0.000388925,-0.004862065,0.002380682,-0.007565069,126,227.1462,122.6478,390.2893,8.64E-09,-0.1961516,-0.1,-0.207031,-0.2003056,-0.1972131,-0.1844881,-0.174937,-0.1427927,-0.06345806,-0.1627729,-0.1729604,-0.1696926,-0.07260534,-0.1742471,-0.07391364,-0.1649229,-0.1029546,-0.1080257,-0.1202527,-0.1351049,-0.1541856,-0.1790418,-0.1884408,-0.1874044,-0.1972277,-0.1991707,-0.2006655,-0.2023981,-0.203835,-0.2051431,-0.2060311,-0.2062415,-0.1996052,403.7094,-0.9976907,0.02679972,-0.03296011,0.04653413,-0.006705992,0.02024042,-0.008704367,0.000459681,0.00363527,-0.000971436,-0.007588002,-0.004687922,-0.00169445,-0.000838248,0.002618371,0.001935949,0.000586928,-0.000271641,8.23E-05,-0.001070792,-0.000172798,0.000407613,-0.001228317,-0.000305993,-0.000512879,0.000241794,0.000944632,-0.00022688,0.000218869,9.49E-05,-8E-05,-5.35E-05,-9.5E-05,-0.9976907,0.04653413,-0.02912298,36.8355,0.1716242,-0.7124725,0.967265,0.9569705,0.8532374,0.8253721,0.768464,0.6846189,0.5648338,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ElectricGuitar,Marimba
1.810818,-1.75357,0.4562937,-1.754164273,0.460696111,-0.003189795,-0.003359351,0.002825357,0.003395928,-0.00360796,0.004575122,-0.003665396,-0.004708578,-0.000410349,0.000715959,0.001779292,-0.004108458,64,158.0546,73.6878,131.8909,3.87E-11,-0.1687647,-0.1,-0.1919681,-0.1902829,-0.1869722,-0.1778253,-0.1689248,-0.1425037,-0.0764834,-0.1584336,-0.1671443,-0.170482,-0.09768418,-0.1786652,-0.1003001,-0.1709633,-0.1327938,-0.1429693,-0.1612939,-0.1801076,-0.1851248,-0.1883143,-0.189615,-0.1907001,-0.1917012,-0.1928048,-0.1934121,-0.194285,-0.1939833,-0.1941727,-0.1947317,-0.1936496,-0.1882151,486.5713,-0.9963589,0.07124308,0.03332077,0.02743961,-0.000905731,0.01411061,0.007713295,0.002946972,0.000680431,-0.000781838,0.004150946,0.001919378,0.003940523,0.003093581,0.002403863,0.001045835,0.000651428,9.59E-06,0.002459154,0.000775728,0.000242029,0.000616112,3.6E-05,0.00056649,-3.59E-05,8.75E-05,5.66E-06,8.43E-05,-0.000445604,-0.000146092,0.000162948,3.6E-05,-6.22E-05,-0.9963589,0.07124308,-0.02481801,36.9161,0.1722994,-0.3420211,0.905027,0.8864822,0.7350589,0.6772732,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ElectricGuitar,Marimba
1.810818,-0.9599065,0.7341449,-0.956361285,0.738577649,0.002490055,0.000194586,-0.00457608,0.004160566,-0.004740196,-0.003724761,0.001245557,-0.002321863,-0.001219247,-0.00238753,0.004370601,0.001157956,126,290.8842,145.2855,392.981,8.42E-08,-0.138245,-0.1,-0.1940227,-0.1914179,-0.1864421,-0.1829406,-0.1754401,-0.1474328,-0.06176054,-0.1733066,-0.1795937,-0.1673864,-0.0618597,-0.1685736,-0.06072539,-0.1697595,-0.09047524,-0.09123717,-0.1038078,-0.110754,-0.1308157,-0.160493,-0.1762089,-0.1578764,-0.1898866,-0.2082601,-0.2008161,-0.2313213,-0.2336184,-0.2348755,-0.2362019,-0.2370687,-0.2296808,369.0865,-0.9950153,-0.09099809,-0.02355769,-0.01940702,0.01743798,0.006242555,0.01149959,0.004241943,0.001127638,0.007215074,0.01036741,-0.00660909,0.00304575,0.002213789,0.003046413,-0.001405681,0.001992234,0.000297121,-9.26E-05,-0.000430238,-0.001885182,-0.000360819,0.000251749,-0.000411469,-0.000353818,-0.000226646,0.000756697,0.000309952,7.92E-05,0.000141273,0.000216046,-9.74E-05,1.24E-05,-0.9950153,0.01743798,-0.03243503,37.81974,0.1710292,-0.3420211,0.9965189,0.993226,0.8966212,0.8823376,0.8275152,0.7723056,0.6515966,0.5286828,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ElectricGuitar,Marimba
1.810818,-0.5477627,0.5524241,-0.549889871,0.554256126,0.001224207,-0.000440156,0.001137365,-0.002545332,-0.002580397,0.001783727,-0.001660044,-0.004460495,-0.00162062,0.003849061,0.004926834,0.005579092,187,365.651,152.5548,392.981,1.03E-06,-0.1246745,-0.1,-0.202924,-0.224199,-0.2210847,-0.2126495,-0.1565075,-0.1674072,-0.1088531,-0.2054027,-0.1955112,-0.1761263,-0.05538468,-0.1737036,-0.05573805,-0.1759561,-0.09106029,-0.08578574,-0.09912992,-0.1016484,-0.1217568,-0.1484488,-0.165478,-0.1407934,-0.1582089,-0.1783191,-0.1576578,-0.2287448,-0.2259836,-0.2135362,-0.2233731,-0.2459662,-0.2431598,328.5191,-0.9868235,-0.1440344,0.06302801,0.008606437,0.01536886,-0.00551014,-0.02452301,-0.0149915,-0.007740253,-0.000297041,0.002845195,0.009782526,0.009662765,0.002111586,0.000103856,-6.14E-05,-0.001834316,-0.003404404,-0.001575213,-0.0016607,-0.000948401,-0.001605711,-0.000792799,0.002500777,-0.000360396,0.000395715,-0.000605437,-0.001095878,8.02E-05,4.08E-05,-0.000301319,-3.83E-05,1.52E-05,-0.9868235,0.06302801,-0.03283825,40.84679,0.1709523,-0.3420211,1.144397,1.135302,1.023841,1.022124,0.9617359,0.9131146,0.7742525,0.6698431,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ElectricGuitar,Marimba
1.121035,-1.538025,0.6194363,-1.533170173,0.622234216,-0.004929128,0.001489943,-0.004225677,-0.003026194,-0.004988298,-0.00462384,-0.001580859,-0.004975161,0.001061851,-0.002716398,0.002499488,-0.000566679,125,191.4134,101.7468,263.7817,6.1E-10,-0.1785274,-0.1,-0.191365,-0.185593,-0.1830595,-0.1750731,-0.1671043,-0.1376201,-0.06723178,-0.1553238,-0.1628513,-0.1617329,-0.08092824,-0.1640253,-0.08328998,-0.1780555,-0.1135452,-0.1199235,-0.136544,-0.1531193,-0.1677015,-0.1945609,-0.2001007,-0.2023152,-0.2042569,-0.2046088,-0.2063312,-0.2066925,-0.2063983,-0.2073794,-0.206637,-0.2061013,-0.2002464,451.0064,-0.9967943,0.07338584,-0.01695442,0.01898961,-0.009499049,-0.006645691,0.00905994,0.007260101,-0.004827492,0.001731471,0.002114998,0.002942346,-0.006757919,-0.001751652,0.000426983,0.002317256,-0.001076654,0.000674797,0.000378554,-0.000332437,0.000681825,-0.00055918,-0.000111319,-0.001353571,5.09E-05,0.000211431,-2.6E-06,-5.81E-05,0.000326266,0.000137803,-0.000120448,-8.1E-05,4.71E-05,-0.9967943,0.07338584,-0.02806632,36.79403,0.1718002,-0.5800555,0.9453794,0.9302882,0.8060273,0.7705629,0.6879966,0.5955745,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ElectricGuitar,Marimba
