@relation train

@attribute temporalCentroid numeric
@attribute LogSpecCentroid numeric
@attribute LogSpecSpread numeric
@attribute MFCC1 numeric
@attribute MFCC2 numeric
@attribute Energy numeric
@attribute ZeroCrossings numeric
@attribute SpecCentroid numeric
@attribute SpecSpread numeric
@attribute Rolloff numeric
@attribute bandsCoefSum numeric
@attribute prjmin numeric
@attribute prjmax numeric
@attribute prjsum numeric
@attribute prjdis numeric
@attribute prjstd numeric
@attribute LogAttackTime numeric
@attribute HamoPk1 numeric
@attribute HamoPk2 numeric
@attribute HamoPk3 numeric
@attribute HamoPk4 numeric
@attribute HamoPk5 numeric
@attribute HamoPk6 numeric
@attribute HamoPk7 numeric
@attribute HamoPk8 numeric
@attribute HamoPk9 numeric
@attribute HamoPk10 numeric
@attribute HamoPk11 numeric
@attribute HamoPk12 numeric
@attribute HamoPk13 numeric
@attribute HamoPk14 numeric
@attribute HamoPk15 numeric
@attribute HamoPk16 numeric
@attribute HamoPk17 numeric
@attribute HamoPk19 numeric
@attribute playmethod {blown,string,struck_Hrm}
@attribute class1 {aerophone,chordophone}
@attribute class2 {aero_side,aero_single-reed,chrd_composite,aero_lip-vibrated,chrd_simple,aero_double-reed,aero_free-reed}
@attribute label {Cello,CTrumpet,B-flatclarinet,Piano,TenorTrombone,DoubleBass,Violin,Accordian,Oboe,TenorSaxophone,DTrumpet,Viola}

@data
1.081512,-1.267515,0.718921,-1.264819,0.719328,0.00104,126,236.4528,127.7963,390.2893,394.1155,-0.998951,0.022623,-0.029743,34.98195,0.171518,-0.491264,0.971333,0.962306,0.861039,0.833466,0.782188,0.707496,0.590323,0.744098,0.767194,0.749675,0.736009,0.697682,0.685608,0.632692,0.643926,0.614421,0.645221,0.601616,string,chordophone,chrd_composite,Cello
1.526102,-0.699392,1.202578,-0.704354,1.199862,-0.005533,188,431.9828,374.4897,785.9619,360.099,-0.998693,0.029645,-0.029535,36.01243,0.171554,-0.312404,1.060937,1.036092,1.048938,0.943048,0.953308,0.894674,0.985172,0.806428,0.874078,0.803462,0.904189,0.800636,0.804431,0.652246,0.691475,0.724365,0.677611,0.709286,blown,aerophone,aero_lip-vibrated,CTrumpet
1.771543,-0.259115,1.046923,-0.259349,1.050385,0.001783,283,533.517,366.2751,912.4695,360.3757,-0.998151,0.049574,-0.028625,36.1812,0.171708,-0.024803,0.996936,0.948594,0.852603,0.804943,0.829521,0.795599,0.787946,0.733163,0.662509,0.670049,0.749399,0.624927,0.658491,0.643354,0.594119,0.623507,0.608333,0.617342,blown,aerophone,aero_single-reed,B-flatclarinet
1.52806,-0.295542,1.133114,-0.294916,1.129937,0.001611,229,510.7455,315.503,785.9619,405.2418,-0.998704,0.009626,-0.032245,36.22641,0.171065,-0.231911,1.065192,1.053357,1.117118,0.982431,1.07301,0.834759,1.067154,0.841398,0.937236,0.785932,0.993817,0.84394,0.925745,0.751361,0.846576,0.724365,0.712326,0.736501,blown,aerophone,aero_lip-vibrated,CTrumpet
1.52806,-0.641957,1.225685,-0.639676,1.225593,0.005432,191,446.8962,368.5416,788.6536,371.547,-0.998845,0.03169,-0.030935,35.93326,0.171307,-0.231911,1.059959,1.031163,1.052243,0.925551,0.980635,0.897907,1.024287,0.75585,0.992525,0.811757,1.01035,0.786751,0.972091,0.755617,0.945089,0.724365,0.908188,0.914338,blown,aerophone,aero_lip-vibrated,CTrumpet
0.685203,-1.6558,1.155818,-1.654094,1.160018,-0.003309,103,206.9366,136.0761,263.7817,393.0688,-0.989886,0.022514,-0.033562,38.99309,0.170812,-0.696319,1.079665,0.78933,0.962412,0.810156,0.954987,0.716625,0.851671,0.664375,0.705223,0.596959,0.67434,0.802892,0.661376,0.627652,0.654225,0.560585,0.683366,0.567448,struck_Hrm,chordophone,chrd_simple,Piano
1.012393,-0.483096,0.749826,-0.485263,0.75108,0.002675,224,407.2702,233.7889,522.1802,379.3196,-0.999735,0.018189,-0.029757,33.77952,0.171515,0.098561,1.036115,1.036143,1.016167,0.980788,0.923378,0.857469,0.865843,0.793576,0.750212,0.7026,0.853954,0.623409,0.675775,0.595108,0.743743,0.591991,0.679899,0.692721,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.019867,-0.587436,0.722383,-0.589081,0.721353,0.00644,219,373.431,187.9587,519.4885,389.5632,-0.99987,0.009259,-0.030183,33.3763,0.171441,0.061109,1.035959,1.036419,0.994478,0.981994,0.925331,0.861789,0.843484,0.80012,0.758244,0.715326,0.807838,0.627826,0.675775,0.595108,0.687942,0.591991,0.679899,0.692721,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.536829,-1.069065,1.131536,-1.06628,1.133394,-0.002557,166,332.6473,318.3767,654.071,343.5242,-0.99895,0.022566,-0.032301,35.82802,0.171055,-0.252393,1.057976,1.028959,1.007519,0.93292,0.980562,0.892244,0.962207,0.730442,0.947097,0.792117,0.95236,0.742641,0.905988,0.611471,0.887354,0.628643,0.834621,0.835631,blown,aerophone,aero_lip-vibrated,CTrumpet
1.46164,-1.115028,1.169604,-1.115485,1.168374,-0.004155,223,340.0612,350.8057,783.2703,337.1879,-0.999161,0.007666,-0.031484,35.54561,0.171207,-0.023366,0.929534,0.893778,0.894971,0.881429,0.896243,0.898098,0.850096,0.816613,0.753474,0.775837,0.645398,0.683891,0.672811,0.596903,0.606219,0.608196,0.606292,0.654411,blown,aerophone,aero_single-reed,B-flatclarinet
