temporalCentroid,LogSpecCentroid,LogSpecSpread,MFCC1,MFCC2,Energy,ZeroCrossings,SpecCentroid,SpecSpread,Rolloff,bandsCoefSum,prjmin,prjmax,prjsum,prjdis,prjstd,LogAttackTime,HamoPk1,HamoPk2,HamoPk3,HamoPk4,HamoPk5,HamoPk6,HamoPk7,HamoPk8,HamoPk9,HamoPk10,HamoPk11,HamoPk12,HamoPk13,HamoPk14,HamoPk15,HamoPk16,HamoPk17,HamoPk19,playmethod,class1,class2,label
1.081512,-1.267515,0.7189213,-1.264818996,0.719327569,0.001040263,126,236.4528,127.7963,390.2893,394.1155,-0.9989512,0.02262262,-0.02974315,34.98195,0.1715179,-0.4912642,0.9713333,0.9623062,0.8610391,0.8334665,0.7821879,0.7074957,0.5903233,0.744098,0.767194,0.749675,0.736009,0.697682,0.685608,0.632692,0.643926,0.614421,0.645221,0.601616,string,chordophone,chrd_composite,Cello
1.526102,-0.6993917,1.202578,-0.704354294,1.199861968,-0.005533308,188,431.9828,374.4897,785.9619,360.099,-0.9986926,0.02964471,-0.02953467,36.01243,0.1715539,-0.3124043,1.060937,1.036092,1.048938,0.9430479,0.9533084,0.8946738,0.9851721,0.8064284,0.8740782,0.8034615,0.9041895,0.8006355,0.804431,0.6522462,0.6914751,0.724365,0.6776113,0.7092855,blown,aerophone,aero_lip-vibrated,CTrumpet
1.771543,-0.2591152,1.046923,-0.259348567,1.050385381,0.00178255,283,533.517,366.2751,912.4695,360.3757,-0.9981515,0.04957444,-0.02862461,36.1812,0.1717081,-0.02480273,0.9969357,0.9485943,0.8526026,0.8049433,0.8295207,0.7955989,0.7879456,0.7331625,0.6625091,0.670049,0.749399,0.6249272,0.6584914,0.643354,0.5941189,0.623507,0.608333,0.617342,blown,aerophone,aero_single-reed,B-flatclarinet
1.52806,-0.2955423,1.133114,-0.2949163,1.129937228,0.001610596,229,510.7455,315.503,785.9619,405.2418,-0.998704,0.009625914,-0.03224547,36.22641,0.1710651,-0.2319108,1.065192,1.053357,1.117118,0.9824314,1.07301,0.8347586,1.067154,0.8413979,0.9372363,0.785932,0.9938166,0.8439405,0.9257451,0.7513606,0.8465765,0.724365,0.7123257,0.7365006,blown,aerophone,aero_lip-vibrated,CTrumpet
1.52806,-0.6419571,1.225685,-0.639676372,1.225593266,0.00543192,191,446.8962,368.5416,788.6536,371.547,-0.9988445,0.03169039,-0.03093462,35.93326,0.171307,-0.2319108,1.059959,1.031163,1.052243,0.9255512,0.9806352,0.8979073,1.024287,0.7558504,0.9925255,0.8117572,1.01035,0.7867507,0.9720912,0.755617,0.9450889,0.724365,0.9081878,0.9143378,blown,aerophone,aero_lip-vibrated,CTrumpet
0.6852032,-1.6558,1.155818,-1.654093952,1.160018078,-0.00330925,103,206.9366,136.0761,263.7817,393.0688,-0.9898864,0.02251362,-0.03356213,38.99309,0.1708116,-0.6963192,1.079665,0.7893298,0.9624118,0.810156,0.9549868,0.7166246,0.8516709,0.664375,0.705223,0.596959,0.67434,0.802892,0.661376,0.627652,0.654225,0.560585,0.683366,0.567448,struck_Hrm,chordophone,chrd_simple,Piano
1.012393,-0.4830965,0.7498257,-0.485262818,0.751079935,0.002674814,224,407.2702,233.7889,522.1802,379.3196,-0.9997347,0.01818875,-0.0297566,33.77952,0.1715155,0.09856132,1.036115,1.036143,1.016167,0.9807882,0.9233778,0.8574694,0.8658431,0.7935763,0.7502117,0.7026001,0.8539545,0.6234091,0.675775,0.595108,0.7437429,0.591991,0.679899,0.692721,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.019867,-0.5874362,0.7223827,-0.589080762,0.721353395,0.006440004,219,373.431,187.9587,519.4885,389.5632,-0.9998701,0.009259377,-0.03018253,33.3763,0.1714411,0.06110869,1.035959,1.036419,0.9944777,0.9819936,0.9253314,0.8617888,0.8434835,0.8001203,0.7582438,0.7153265,0.8078377,0.627826,0.675775,0.595108,0.6879424,0.591991,0.679899,0.692721,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.536829,-1.069065,1.131536,-1.066280494,1.133393811,-0.00255743,166,332.6473,318.3767,654.071,343.5242,-0.9989504,0.02256604,-0.03230123,35.82802,0.1710546,-0.2523927,1.057976,1.028959,1.007519,0.9329199,0.9805623,0.8922436,0.9622074,0.7304416,0.9470969,0.7921165,0.9523597,0.7426415,0.9059878,0.6114707,0.8873535,0.6286432,0.8346209,0.8356309,blown,aerophone,aero_lip-vibrated,CTrumpet
1.46164,-1.115028,1.169604,-1.115485382,1.168373654,-0.004155474,223,340.0612,350.8057,783.2703,337.1879,-0.9991611,0.007665606,-0.03148374,35.54561,0.1712069,-0.02336622,0.9295338,0.8937783,0.8949713,0.8814286,0.8962428,0.8980976,0.8500957,0.8166129,0.7534735,0.7758365,0.645398,0.6838914,0.6728113,0.5969028,0.6062193,0.6081961,0.606292,0.6544105,blown,aerophone,aero_single-reed,B-flatclarinet
