Id,Instrument
1,Piano
2,Cello
3,Tuba
4,Tuba
5,Piano
6,Tuba
7,Trumpet
8,Violin
9,Tuba
10,Tuba
11,Tuba
12,Trumpet
13,Flute
14,Saxophone
15,Tuba
16,Trumpet
17,Piano
18,Tuba
19,Viola
20,Clarinet
21,Clarinet
22,Oboe
23,Piano
24,Vibraphone
25,Piano
26,Oboe
27,Tuba
28,Trumpet
29,Trumpet
30,Clarinet
31,Saxophone
32,Clarinet
33,Trumpet
34,Flute
35,Flute
36,Cello
37,Flute
38,Flute
39,Accordian
40,Tuba
41,Oboe
42,Saxophone
43,Violin
44,Flute
45,Saxophone
46,Piano
47,Trumpet
48,Oboe
49,Trumpet
50,Piano
51,Trumpet
52,Trumpet
53,Cello
54,Tuba
55,Clarinet
56,Tuba
57,Cello
58,Flute
59,Tuba
60,Cello
61,Tuba
62,Trumpet
63,Cello
64,Cello
65,Violin
66,Tuba
67,Oboe
68,Tuba
69,Clarinet
70,Cello
71,Piano
72,Violin
73,Saxophone
74,Cello
75,Trumpet
76,Tuba
77,Tuba
78,Cello
79,Oboe
80,Flute
81,Saxophone
82,Clarinet
83,Trumpet
84,Cello
85,Saxophone
86,Flute
87,Clarinet
88,Cello
89,Viola
90,Oboe
91,Accordian
92,BassSaxophone
93,Tuba
94,Flute
95,Clarinet
96,Tuba
97,Cello
98,Trumpet
99,Tuba
100,Vibraphone
101,Cello
102,Flute
103,Saxophone
104,Tuba
105,Tuba
106,Cello
107,Clarinet
108,Oboe
109,Oboe
110,Tuba
111,Flute
112,Flute
113,Violin
114,Clarinet
115,Oboe
116,Tuba
117,Saxophone
118,Cello
119,Viola
120,Tuba
121,Flute
122,Trumpet
123,Clarinet
124,Flute
125,Clarinet
126,Oboe
127,Tuba
128,Violin
129,Trumpet
130,Viola
131,Trumpet
132,Cello
133,Cello
134,Tuba
135,Cello
136,Clarinet
137,Oboe
138,Clarinet
139,Cello
140,Accordian
141,Saxophone
142,Accordian
143,Clarinet
144,Cello
145,Oboe
146,Trombone
147,Trumpet
148,Flute
149,Tuba
150,Clarinet
151,Flute
152,Flute
153,Viola
154,Clarinet
155,Accordian
156,Tuba
157,Cello
158,Cello
159,Piano
160,Tuba
161,Cello
162,Cello
163,Cello
164,Trumpet
165,Tuba
166,Clarinet
167,Flute
168,Tuba
169,Accordian
170,Cello
171,Piano
172,Saxophone
173,Cello
174,Trumpet
175,Violin
176,Saxophone
177,Saxophone
178,Cello
179,Trumpet
180,Saxophone
181,Flute
182,Flute
183,Trumpet
184,Tuba
185,Cello
186,Flute
187,Cello
188,Cello
189,Saxophone
190,Trumpet
191,Viola
192,Tuba
193,Flute
194,Violin
195,Tuba
196,Trumpet
197,Violin
198,Oboe
199,Cello
200,Cello
201,Piano
202,Saxophone
203,Clarinet
204,Oboe
205,Tuba
206,Clarinet
207,Saxophone
208,Clarinet
209,Piano
210,Tuba
211,Tuba
212,Flute
213,Tuba
214,Trumpet
215,Oboe
216,Trumpet
217,Cello
218,Violin
219,Tuba
220,Trumpet
221,Trumpet
222,Trumpet
223,Saxophone
224,Trumpet
225,Accordian
226,DoubleBass
227,Trumpet
228,Tuba
229,Tuba
230,Cello
231,Flute
232,Clarinet
233,Piano
234,Oboe
235,Piano
236,Oboe
237,Cello
238,Flute
239,Saxophone
240,Violin
241,Cello
242,Viola
243,Tuba
244,Viola
245,Violin
246,Cello
247,Tuba
248,Oboe
249,Tuba
250,Flute
251,Clarinet
252,Viola
253,Trumpet
254,Tuba
255,Cello
256,Violin
257,Cello
258,Piano
259,Cello
260,Vibraphone
261,Flute
262,Saxophone
263,Piano
264,Flute
265,Accordian
266,Tuba
267,Tuba
268,Oboe
269,Accordian
270,Tuba
271,Oboe
272,Flute
273,Oboe
274,Tuba
275,Cello
276,Oboe
277,Trumpet
278,Flute
279,Saxophone
280,Cello
281,Clarinet
282,Flute
283,Cello
284,Cello
285,Flute
286,Cello
287,Clarinet
288,Saxophone
289,Piano
290,Trumpet
291,Piano
292,Flute
293,Piano
294,Oboe
295,Tuba
296,Oboe
297,Tuba
298,Trumpet
299,Piano
300,Clarinet
301,Oboe
302,Trumpet
303,Piano
304,Piano
305,Viola
306,Viola
307,Violin
308,Tuba
309,Oboe
310,Flute
311,Cello
312,Cello
313,Flute
314,Clarinet
315,Tuba
316,Clarinet
317,Violin
318,Saxophone
319,Piano
320,Cello
321,Tuba
322,Trumpet
323,Oboe
324,Trumpet
325,Viola
326,Viola
327,Cello
328,Cello
329,Viola
330,Violin
331,Piano
332,Trumpet
333,Piano
334,Trumpet
335,Tuba
336,Cello
337,Viola
338,Tuba
339,Flute
340,Trumpet
341,Tuba
342,Saxophone
343,Cello
344,Clarinet
345,DoubleBass
346,Flute
347,Flute
348,Viola
349,Cello
350,Saxophone
351,Clarinet
352,Flute
353,Tuba
354,Cello
355,Tuba
356,Cello
357,Tuba
358,Tuba
359,Oboe
360,Oboe
361,Tuba
362,Oboe
363,Saxophone
364,Violin
365,Saxophone
366,Flute
367,Violin
368,Tuba
369,Piano
370,Trumpet
371,Saxophone
372,Tuba
373,Tuba
374,Trumpet
375,Oboe
376,Cello
377,Tuba
378,Cello
379,Tuba
380,Accordian
381,Piano
382,Piano
383,Flute
384,Piano
385,Flute
386,Saxophone
387,Saxophone
388,Flute
389,Flute
390,Violin
391,Saxophone
392,Saxophone
393,Tuba
394,Trumpet
395,Piano
396,Cello
397,Tuba
398,Trumpet
399,Trumpet
400,Oboe
401,Tuba
402,Cello
403,Violin
404,Oboe
405,Saxophone
406,Cello
407,Tuba
408,Saxophone
409,Cello
410,Cello
411,Violin
412,Trumpet
413,Piano
414,Piano
415,Cello
416,Cello
417,Cello
418,Trumpet
419,Cello
420,Saxophone
421,Violin
422,Violin
423,Cello
424,DoubleBass
425,Flute
426,Tuba
427,Viola
428,Clarinet
429,Cello
430,Flute
431,Tuba
